# name, mass, radius, period, axis, eccentricity, inclination, angular_distance, publication_status_letter, discovered, updated, omega, tperi, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
HR 810 b,2.26,,320.1,0.925,0.161,,0.053873,R,1999,2010-12-29,83.0,2450307.0,detected by radial velocity,,HR 810,02:42:31.0,-50:48:12,5.4,,,,,17.17,0.25,1.11,1.85,G0V pecul.,3.6,5997.0
HR 8799 b,7.0,1.1,164250.0,68.0,0.0,28.0,1.725888,R,2008,2011-10-13,,,detected by imaging,,HR 8799,23:07:29.0,+21:08:03,5.96,,,,,39.4,-0.47,1.56,1.5,A5V,0.06,
HR 8799 c,10.0,1.3,82145.0,42.9,0.0,28.0,1.088832,R,2008,2011-10-13,,,detected by imaging,,HR 8799,23:07:29.0,+21:08:03,5.96,,,,,39.4,-0.47,1.56,1.5,A5V,0.06,
HR 8799 d,10.0,1.2,41054.0,27.0,0.1,28.0,0.685279,R,2008,2011-10-13,80.2,,detected by imaging,,HR 8799,23:07:29.0,+21:08:03,5.96,,,,,39.4,-0.47,1.56,1.5,A5V,0.06,
HR 8799 e,9.0,,18000.0,14.5,,,0.36802,R,2010,2010-11-23,,,detected by imaging,,HR 8799,23:07:29.0,+21:08:03,5.96,,,,,39.4,-0.47,1.56,1.5,A5V,0.06,
HU Aqr(AB) c,5.9,,5646.0,6.18,0.29,,,R,2011,2012-05-22,351.0,2450050.0,pulsar,,HU Aqr(AB),21:07:58.0,-05:17:41,15.0,,,,,,,1.0,,Catac. var.,,
HW Vir (AB) b,14.3,,4640.0,4.69,0.4,,0.025912,R,2008,2012-06-15,-18.0,2452410.0,pulsar,,HW Vir (AB),12:44:20.0,-08:40:17,10.9,,,,,181.0,,0.627,,sdB+M,,
KELT-2A b,1.486,1.306,4.1137914,0.05498,0.185,,0.000427,R,2012,2012-06-11,160.0,2455974.83,detected by transit,,KELT-2A,06:10:39.0,+30:57:26,8.7,,,,,128.9,-0.015,1.31,1.842,F7V,,6148.0
KIC 10905746 b,,0.237,9.8844,0.0751,,88.42,,S,2011,2011-09-22,,,detected by transit,,KIC 10905746,18:54:31.0,+48:23:28,13.0,,,,,,-0.23,0.578,0.548,,,4240.0
KIC 6185331 b,,0.72,49.76971,0.2672,,89.2,,S,2011,2011-09-22,,,detected by transit,,KIC 6185331,18:57:06.0,+41:32:06,15.0,,,,,,0.11,1.027,1.27,,8.7,5619.0
KOI-13 b,12.1,1.83,1.7637,,,,,R,2011,2012-04-08,,,detected by transit,,KOI-13,19:07:53.0,+46:52:06,10.0,,,,,,-0.14,,2.44,,,8848.0
KOI-135 b,3.23,1.2,3.024095,0.0449,0.025,84.35,2.3e-05,R,2011,2011-10-26,,,detected by transit,,KOI-135,19:00:58.0,+46:40:06,14.0,,,,,1950.0,0.33,1.32,1.2,G0V/G0IV,2.8,6041.0
KOI-196 b,0.49,0.841,1.855558,0.029,0.0,88.3,4e-05,R,2011,2011-08-03,,,detected by transit,,KOI-196,19:38:03.0,+45:58:54,14.5,,,,,730.0,-0.09,0.94,0.966,G2V,7.4,5660.0
KOI-200 b,0.44,0.79,7.34,0.075,,,,S,2012,2012-06-05,,,detected by transit,,KOI-200,19:32:22.0,+41:21:20,15.0,,,,,,0.15,,0.76,,,5774.0
KOI-202 b,0.88,1.02,1.72,0.029,,,,S,2012,2012-06-05,,,detected by transit,,KOI-202,19:04:26.0,+43:40:52,14.5,,,,,,0.12,,1.04,,,5912.0
KOI-204 b,1.02,1.24,3.24674,0.0455,0.021,83.78,2e-05,R,2011,2011-10-26,,,detected by transit,,KOI-204,20:00:25.0,+45:45:44,15.0,,,,,2250.0,0.26,1.19,1.52,G2IV,6.95,5757.0
KOI-206 b,2.9,0.7,5.33,0.059,,,,S,2012,2012-06-05,,,detected by transit,,KOI-206,19:50:22.0,+40:58:38,14.5,,,,,,-0.13,,1.16,,,5771.0
KOI-254 b,0.505,0.96,2.455239,0.027,0.11,87.0,8.1e-05,S,2011,2012-04-05,230.0,,detected by transit,,KOI-254,19:31:30.0,+41:03:51,16.88,,,,,333.0,0.13,0.59,0.55,M,,3820.0
KOI-423 b,18.0,1.22,21.0874,0.155,0.121,88.83,0.000129,C,2011,2011-06-17,98.9,,detected by transit,,KOI-423,19:47:50.0,+46:02:04,14.3,,,,,1200.0,-0.29,1.1,1.39,F7IV,5.08,6260.0
KOI-428 b,2.2,1.17,6.87349,0.08,0.0,89.7,3e-05,R,2010,2011-01-01,,,detected by transit,,KOI-428,19:47:15.0,+47:31:36,14.76,,,,,2700.0,0.1,1.48,2.13,F5IV,2.8,6510.0
KOI-55 b,0.014,0.068,0.2401,0.006,,,5e-06,R,2011,2012-01-16,,,detected by imaging,,KOI-55,19:45:25.0,+41:05:34,14.87,,,,,1180.0,,0.496,0.203,sdB,0.0184,27730.0
KOI-55 c,0.0021,0.078,0.34289,0.0076,,,6e-06,R,2011,2012-01-16,,,detected by imaging,,KOI-55,19:45:25.0,+41:05:34,14.87,,,,,1180.0,,0.496,0.203,sdB,0.0184,27730.0
KOI-680 b,0.62,0.65,8.6,0.08,,,,S,2012,2012-06-05,,,detected by transit,,KOI-680,19:29:09.0,+43:11:50,14.0,,,,,,-0.46,,1.16,,,6060.0
KOI-730 b,,0.31,14.7903,0.12,,,,R,2011,2011-09-07,,,detected by transit,,KOI-730,19:53:16.0,+47:16:46,15.0,,,,,,,1.07,1.1,,,5590.0
KOI-730 c,,0.23,9.8499,0.092,,,,R,2011,2011-09-07,,,detected by transit,,KOI-730,19:53:16.0,+47:16:46,15.0,,,,,,,1.07,1.1,,,5590.0
KOI-730 d,,0.25,19.7216,0.145,,,,R,2011,2011-09-08,,,detected by transit,,KOI-730,19:53:16.0,+47:16:46,15.0,,,,,,,1.07,1.1,,,5590.0
KOI-730 e,,0.18,7.3831,0.076,,,,R,2011,2011-09-07,,,detected by transit,,KOI-730,19:53:16.0,+47:16:46,15.0,,,,,,,1.07,1.1,,,5590.0
KOI-872 b,6.0,0.812,33.60134,0.1967,0.01,89.033,0.00023,R,2012,2012-05-12,,,detected by transit,,KOI-872,19:17:05.0,+42:36:15,15.3,,,,,857.0,0.41,0.902,0.94,,9.9,5155.0
KOI-872 c,0.376,,57.004,0.2799,0.0145,87.25,0.000327,R,2012,2012-05-12,329.4,,pulsar,,KOI-872,19:17:05.0,+42:36:15,15.3,,,,,857.0,0.41,0.902,0.94,,9.9,5155.0
Kepler-10 b,0.0143,0.127,0.837495,0.01684,0.0,84.4,9.7e-05,R,2011,2011-01-11,,,detected by transit,,Kepler-10,19:02:43.0,+50:14:29,10.96,,,,,173.0,-0.15,0.895,1.056,G,11.9,5627.0
Kepler-10 c,0.063,0.199,45.29485,0.2407,0.0,89.65,0.001391,R,2011,2011-05-26,,,detected by transit,,Kepler-10,19:02:43.0,+50:14:29,10.96,,,,,173.0,-0.15,0.895,1.056,G,11.9,5627.0
Kepler-11 b,0.01353,0.1762,10.30375,0.091,0.0,88.5,,R,2011,2011-02-02,,,detected by transit,,Kepler-11,19:48:28.0,+41:54:33,13.7,,,,,,0.0,0.95,1.1,G,8.0,5680.0
Kepler-11 c,0.0425,0.28175,13.02502,0.106,0.0,89.0,,R,2011,2011-02-02,,,detected by transit,,Kepler-11,19:48:28.0,+41:54:33,13.7,,,,,,0.0,0.95,1.1,G,8.0,5680.0
Kepler-11 d,0.01919,0.3068,22.68719,0.159,0.0,89.3,,R,2011,2011-02-02,,,detected by transit,,Kepler-11,19:48:28.0,+41:54:33,13.7,,,,,,0.0,0.95,1.1,G,8.0,5680.0
Kepler-11 e,0.02643,0.4043,31.9959,0.194,0.0,88.8,,R,2011,2011-02-02,,,detected by transit,,Kepler-11,19:48:28.0,+41:54:33,13.7,,,,,,0.0,0.95,1.1,G,8.0,5680.0
Kepler-11 f,0.007237,0.2335,46.68876,0.25,0.0,89.4,,R,2011,2011-02-02,,,detected by transit,,Kepler-11,19:48:28.0,+41:54:33,13.7,,,,,,0.0,0.95,1.1,G,8.0,5680.0
Kepler-11 g,0.95,0.3274,118.37774,0.462,0.0,89.8,,R,2011,2011-02-02,,,detected by transit,,Kepler-11,19:48:28.0,+41:54:33,13.7,,,,,,0.0,0.95,1.1,G,8.0,5680.0
Kepler-12 b,0.431,1.695,4.4379637,0.0556,0.01,88.76,,R,2011,2011-09-09,182.0,,detected by transit,,Kepler-12,00:00:00.0,+00:00:00,13.4,,,,,,0.07,1.166,1.483,G0,4.0,5947.0
Kepler-14 b,8.4,1.136,6.790123,,0.035,90.0,,S,2011,2011-06-29,,,detected by transit,,Kepler-14,19:10:50.0,+47:19:59,12.12,,,,,980.0,0.12,1.512,2.048,F,2.2,6395.0
Kepler-15 b,0.66,0.96,4.942782,0.05714,,87.44,,R,2011,2011-08-02,,,detected by transit,,Kepler-15,00:00:00.0,+00:00:00,13.8,,,,,,0.36,1.018,0.992,,,5595.0
Kepler-16 (AB) b,0.333,0.7538,228.776,0.7048,0.00685,90.0322,,R,2011,2012-04-24,318.0,,detected by transit,,Kepler-16 (AB),19:16:18.0,+51:45:27,12.0,,,,,,-0.3,0.8499,0.65,K,,4450.0
Kepler-17 b,2.45,1.312,1.4857108,0.02591,0.011,87.2,3.2e-05,R,2011,2011-10-26,,,detected by transit,,Kepler-17,19:53:35.0,+47:48:54,14.0,,,,,800.0,0.26,1.16,1.05,G2V,1.78,5781.0
Kepler-18 b,0.0217,0.179,3.504725,0.0447,,84.92,,R,2011,2011-10-05,,,detected by transit,,Kepler-18,19:52:19.0,+44:44:47,14.0,,,,,,0.2,0.972,1.108,,10.0,5383.0
Kepler-18 c,0.054,0.49,7.64159,0.0752,,87.68,,R,2011,2011-10-05,,,detected by transit,,Kepler-18,19:52:19.0,+44:44:47,14.0,,,,,,0.2,0.972,1.108,,10.0,5383.0
Kepler-18 d,0.052,0.62,14.85888,0.1172,,88.07,,R,2011,2011-10-05,,,detected by transit,,Kepler-18,19:52:19.0,+44:44:47,14.0,,,,,,0.2,0.972,1.108,,10.0,5383.0
Kepler-19 b,0.064,0.198,9.2869944,0.085,,89.94,,R,2011,2011-09-09,,,detected by transit,,Kepler-19,19:21:41.0,+37:51:06,12.0,,,,,,-0.13,0.936,0.85,,1.9,5541.0
Kepler-20 b,0.027,0.17,3.6961219,0.04537,0.32,86.5,0.000156,R,2011,2011-12-21,,,detected by transit,,Kepler-20,19:10:48.0,+42:20:19,12.5,,,,,290.0,0.02,0.912,0.944,G8,8.8,5466.0
Kepler-20 c,0.051,0.27,10.854092,0.093,0.4,88.39,0.000321,R,2011,2011-12-21,,,detected by transit,,Kepler-20,19:10:48.0,+42:20:19,12.5,,,,,290.0,0.02,0.912,0.944,G8,8.8,5466.0
Kepler-20 d,0.06,0.25,77.61185,0.3453,0.6,89.57,0.001191,R,2011,2011-12-21,,,detected by transit,,Kepler-20,19:10:48.0,+42:20:19,12.5,,,,,290.0,0.02,0.912,0.944,G8,8.8,5466.0
Kepler-20 e,0.0097,0.078,6.098493,0.0507,,87.5,0.000175,R,2011,2011-12-23,,,detected by transit,,Kepler-20,19:10:48.0,+42:20:19,12.5,,,,,290.0,0.02,0.912,0.944,G8,8.8,5466.0
Kepler-20 f,0.045,0.09,19.57706,0.11,,88.68,0.000379,R,2011,2011-12-23,,,detected by transit,,Kepler-20,19:10:48.0,+42:20:19,12.5,,,,,290.0,0.02,0.912,0.944,G8,8.8,5466.0
Kepler-21 b,0.033,0.1459,2.785755,0.042507,0.0,82.58,0.000394,C,2011,2011-12-12,,,detected by transit,,Kepler-21,19:09:27.0,+38:42:50,8.27,,,,,108.0,-0.15,1.34,1.86,F6IV,2.84,6131.0
Kepler-22 b,0.11,0.21,289.8623,0.849,,89.764,0.004468,R,2011,2011-12-09,,,detected by transit,,Kepler-22,19:16:52.0,+47:53:04,12.0,,,,,190.0,-0.29,0.97,0.979,G5,,5518.0
Kepler-23 b,0.8,0.17,7.1073,0.075,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-23,19:36:52.0,+49:28:45,14.0,,,,,,,1.11,1.52,,,5760.0
Kepler-23 c,2.7,0.29,10.7421,0.099,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-23,19:36:52.0,+49:28:45,14.0,,,,,,,1.11,1.52,,,5760.0
Kepler-24 b,1.6,0.21,8.1453,0.08,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-24,19:21:39.0,+38:20:38,15.5,,,,,,,1.03,1.07,,,5800.0
Kepler-24 c,1.6,0.25,12.3335,0.106,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-24,19:21:39.0,+38:20:38,15.5,,,,,,,1.03,1.07,,,5800.0
Kepler-25 b,12.7,0.23,6.2385,0.068,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-25,19:06:33.0,+39:29:16,11.0,,,,,,0.01,1.22,1.36,,,6190.0
Kepler-25 c,4.16,0.4,12.7204,0.11,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-25,19:06:33.0,+39:29:16,11.0,,,,,,0.01,1.22,1.36,,,6190.0
Kepler-26 b,0.38,0.32,12.2829,0.085,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-26,18:59:46.0,+46:34:00,16.0,,,,,,-0.21,0.65,0.59,,,4500.0
Kepler-26 c,0.375,0.32,17.2513,0.107,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-26,18:59:46.0,+46:34:00,16.0,,,,,,-0.21,0.65,0.59,,,4500.0
Kepler-27 b,9.11,0.36,15.3348,0.118,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-27,19:28:57.0,+41:05:09,,,,,,,0.41,0.65,0.59,,,5400.0
Kepler-27 c,13.8,0.44,31.3309,0.191,,,,R,,2012-01-30,,,detected by transit,,Kepler-27,19:28:57.0,+41:05:09,,,,,,,0.41,0.65,0.59,,,5400.0
Kepler-28 b,1.51,0.32,5.9123,0.062,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-28,19:28:33.0,+42:25:46,15.5,,,,,,0.34,0.75,0.7,,,4590.0
Kepler-28 c,1.36,0.3,8.9858,0.081,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-28,19:28:33.0,+42:25:46,15.5,,,,,,0.34,0.75,0.7,,,4590.0
Kepler-29 b,0.4,0.32,10.3376,0.09,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-29,19:53:24.0,+47:29:28,15.5,,,,,,0.0,1.0,0.96,,,5750.0
Kepler-29 c,0.3,0.26,13.2907,0.11,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-29,19:53:24.0,+47:29:28,15.5,,,,,,0.0,1.0,0.96,,,5750.0
Kepler-30 b,0.2,0.33,29.329,0.18,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-30,19:01:08.0,+38:56:50,15.5,,,,,,0.18,0.99,0.95,,,5498.0
Kepler-30 c,9.1,1.29,60.3251,0.3,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-30,19:01:08.0,+38:56:50,15.5,,,,,,0.18,0.99,0.95,,,5498.0
Kepler-30 d,17.0,0.96,143.213,0.5,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-30,19:01:08.0,+38:56:50,15.5,,,,,,0.18,0.99,0.95,,,5498.0
Kepler-31 b,6.8,0.38,20.8613,0.16,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-31,19:36:06.0,+45:51:11,15.5,,,,,,-0.08,1.21,1.22,,,6340.0
Kepler-31 c,4.7,0.38,42.6318,0.26,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-31,19:36:06.0,+45:51:11,15.5,,,,,,-0.08,1.21,1.22,,,6340.0
Kepler-32 b,4.1,0.37,5.90124,0.05,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-32,19:51:22.0,+46:34:27,16.0,,,,,,0.0,0.58,0.53,,,3900.0
Kepler-32 c,0.5,0.33,8.7522,0.09,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-32,19:51:22.0,+46:34:27,16.0,,,,,,0.0,0.58,0.53,,,3900.0
Kepler-33 b,,0.16,5.66793,0.0677,,86.39,,R,2012,2012-01-30,,,detected by transit,,Kepler-33,19:16:19.0,+46:00:19,14.0,,,,,,,1.291,1.82,,4.27,5904.0
Kepler-33 c,,0.29,13.17562,0.1189,,88.19,,R,2012,2012-01-30,,,detected by transit,,Kepler-33,19:16:19.0,+46:00:19,14.0,,,,,,,1.291,1.82,,4.27,5904.0
Kepler-33 d,,0.48,21.77596,0.1662,,88.71,,R,2012,2012-01-30,,,detected by transit,,Kepler-33,19:16:19.0,+46:00:19,14.0,,,,,,,1.291,1.82,,4.27,5904.0
Kepler-33 e,,0.36,31.7844,0.2138,,88.94,,R,2012,2012-01-30,,,detected by transit,,Kepler-33,19:16:19.0,+46:00:19,14.0,,,,,,,1.291,1.82,,4.27,5904.0
Kepler-33 f,,0.4,41.02902,0.2535,,,,R,2012,2012-01-30,,,detected by transit,,Kepler-33,19:16:19.0,+46:00:19,14.0,,,,,,,1.291,1.82,,4.27,5904.0
Kepler-34(AB) b,0.22,0.764,288.822,1.0896,0.182,90.355,0.000727,R,2012,2012-04-24,,,detected by transit,,Kepler-34(AB),19:45:45.0,+44:38:30,15.0,,,,,1499.0,-0.07,2.0687,1.1,G,,5913.0
Kepler-35(AB) b,0.127,0.728,131.458,0.60347,0.042,90.76,0.000367,R,2012,2012-04-24,,,detected by transit,,Kepler-35(AB),19:37:59.0,+46:41:24,16.0,,,,,1645.0,-0.34,1.6971,1.0,G,,5606.0
Kepler-4 b,0.077,0.357,3.21346,0.0456,0.0,89.76,8.3e-05,R,2010,2010-01-06,,,detected by transit,,Kepler-4,19:02:28.0,+50:08:09,12.7,,,,,550.0,0.17,1.223,1.487,G0,4.5,5857.0
Kepler-42 b,0.009,0.07,1.2137672,0.0116,,,0.0003,R,2012,2012-05-21,,,detected by transit,,Kepler-42,19:28:53.0,+44:37:10,16.12,,,,,38.7,-0.48,0.13,0.17,,,3068.0
Kepler-42 c,0.006,0.065,0.45328509,0.006,,,0.000155,R,2012,2012-05-16,,,detected by transit,,Kepler-42,19:28:53.0,+44:37:10,16.12,,,,,38.7,-0.48,0.13,0.17,,,3068.0
Kepler-42 d,0.003,0.051,1.856169,0.0154,,,0.000398,R,2012,2012-05-16,,,detected by transit,,Kepler-42,19:28:53.0,+44:37:10,16.12,,,,,38.7,-0.48,0.13,0.17,,,3068.0
Kepler-5 b,2.114,1.431,3.54846,0.05064,0.0,86.3,,W,2010,2010-04-23,,,detected by transit,,Kepler-5,19:57:38.0,+44:02:06,,,,,,,0.04,1.374,1.793,,,6297.0
Kepler-6 b,0.669,1.323,3.234723,0.04567,0.0,86.8,,R,2010,2011-12-01,,,detected by transit,,Kepler-6,19:47:21.0,+48:14:24,,,,,,,0.34,1.209,1.391,,3.8,5647.0
Kepler-7 b,0.433,1.614,4.885525,0.06246,0.1,85.18,,R,2010,2011-05-27,357.1,,detected by transit,,Kepler-7,19:14:20.0,+41:05:23,,,,,,,0.11,1.36,2.02,,3.5,5933.0
Kepler-8 b,0.603,1.419,3.52254,0.0483,0.0,84.07,3.6e-05,C,2010,2012-07-05,,,detected by transit,,Kepler-8,18:45:09.0,+42:27:04,13.9,,,,,1330.0,-0.055,1.213,1.486,,3.84,6213.0
Kepler-9 b,0.252,0.842,19.243158,0.14,,88.55,,R,2010,2010-09-09,,,detected by transit,,Kepler-9,19:02:18.0,+38:24:03,13.9,,,,,,0.17,1.0,1.1,,3.0,5722.0
Kepler-9 c,0.171,0.823,38.90861,0.225,,88.12,,R,2010,2010-09-09,,,detected by transit,,Kepler-9,19:02:18.0,+38:24:03,13.9,,,,,,0.17,1.0,1.1,,3.0,5722.0
Kepler-9 d,0.022,0.147,1.592851,0.0273,,,,R,2010,2010-11-23,,,detected by transit,,Kepler-9,19:02:18.0,+38:24:03,13.9,,,,,,0.17,1.0,1.1,,3.0,5722.0
LKCA 15 b,6.0,,40000.0,15.7,,,0.108276,R,2011,2011-10-19,,,detected by imaging,,LKCA 15,04:39:18.0,+22:21:03,11.91,,,,,145.0,,0.97,,K5V,0.002,
MOA-2007-BLG-192-L b,0.01,,,0.66,,,0.000943,R,2008,2010-09-29,,,detected by microlensing,,MOA-2007-BLG-192-L,18:08:04.0,-27:09:00,,19.81,19.6,,,700.0,,0.06,,M,,
MOA-2007-BLG-400-L b,0.9,,,0.85,,,0.000142,S,2008,2010-12-06,,,detected by microlensing,,MOA-2007-BLG-400-L,18:09:42.0,-29:13:27,,,,,,6000.0,,0.35,,,,
MOA-2008-BLG-310-L b,0.23,,,1.25,,,0.000208,S,2009,2009-08-10,,,detected by microlensing,,MOA-2008-BLG-310-L,17:54:14.0,-34:46:41,,,,23.38,,6000.0,,0.67,,,,
MOA-2009-BLG-266L b,0.0327,,2780.0,3.2,,,0.001053,R,2010,2011-06-14,,,detected by microlensing,,MOA-2009-BLG-266L,17:48:06.0,-35:00:19,,,,,,3040.0,,0.56,,,,
MOA-2009-BLG-319 b,0.157,,,2.0,,,0.000328,S,2010,2010-10-12,,,detected by microlensing,,MOA-2009-BLG-319,18:06:58.0,-26:49:11,,,,,,6100.0,,0.38,,K,,
MOA-2009-BLG-387L b,2.6,,1970.0,1.8,,,0.000316,R,2011,2011-02-05,,,detected by microlensing,,MOA-2009-BLG-387L,17:53:51.0,-33:59:25,,,,,,5700.0,,0.19,,M,,
MOA-2010-BLG-477L b,1.5,,,2.0,,,0.00087,R,2012,2012-06-02,,,detected by microlensing,,MOA-2010-BLG-477L,18:06:07.0,-31:27:16,,,,,,2300.0,,0.67,,K,,
MOA-2011-BLG-293L b,2.4,,,1.0,,,0.00014,R,2012,2012-01-23,,,detected by microlensing,,MOA-2011-BLG-293L,17:55:39.0,-28:28:37,,,,,,7150.0,,0.44,,,,
MOA-bin-1 b,3.7,,,8.3,,,0.001627,S,2012,2012-03-22,,,detected by microlensing,,MOA-bin-1,17:51:10.0,-29:47:38,,23.0,,,,5100.0,,0.75,,,,
NGC 2423 3 b,10.6,,714.3,2.1,0.21,,0.002742,R,2007,2007-11-27,18.0,53213.0,detected by radial velocity,,NGC 2423 3,07:37:09.0,-13:54:24,9.45,,,,,766.0,0.14,2.4,,,0.75,
NGC 4349 No 127 b,19.8,,677.8,2.38,0.19,,0.001094,R,2007,2007-11-27,61.0,54114.0,detected by radial velocity,,NGC 4349 No 127,12:24:08.0,-61:52:18,7.4,,,,,2176.0,,3.9,,,0.21,
NN Ser (ab) c,6.91,,5660.0,5.38,0.0,,0.01076,R,2010,2010-10-13,,,pulsar,,NN Ser (ab),15:52:56.0,+12:54:47,16.6,,,,,500.0,,0.646,,WD+M,,
NN Ser (ab) d,2.28,,2830.0,3.39,0.2,,0.00678,R,2009,2010-10-13,74.0,2454515.0,pulsar,,NN Ser (ab),15:52:56.0,+12:54:47,16.6,,,,,500.0,,0.646,,WD+M,,
NY Vir b,2.3,,2900.0,3.3,,,,R,2011,2011-12-20,,,pulsar,,NY Vir,13:38:48.0,-02:01:49,13.3,,,,,,,0.6,,B D,,33000.0
OGLE-05-071L b,3.5,,3600.0,3.6,,,0.001091,R,2005,2008-04-10,,,detected by microlensing,,OGLE-05-071L,17:50:09.0,-34:40:23,,19.5,,,,3300.0,,0.46,,,,
OGLE-05-169L b,0.04,,3300.0,2.8,,,0.001037,S,2005,2006-04-12,,,detected by microlensing,,OGLE-05-169L,18:06:05.0,-30:43:57,,20.4,,,,2700.0,,0.49,,,,
OGLE-05-390L b,0.017,,3500.0,2.1,,,0.000323,R,2005,2006-04-12,,,detected by microlensing,,OGLE-05-390L,17:54:19.0,-30:22:38,,15.7,,,,6500.0,,0.22,,M,,
OGLE-06-109L b,0.727,,1790.0,2.3,,64.0,0.001523,R,2008,2009-11-24,,,detected by microlensing,,OGLE-06-109L,17:52:35.0,-30:05:16,,,,17.17,,1510.0,,0.51,,,,
OGLE-06-109L c,0.271,,4931.0,4.5,0.15,64.0,0.00298,R,2008,2009-11-24,,,detected by microlensing,,OGLE-06-109L,17:52:35.0,-30:05:16,,,,17.17,,1510.0,,0.51,,,,
OGLE-2007-BLG-368L b,0.0694,,,3.3,,,0.000559,R,2008,2009-12-08,,,detected by microlensing,,OGLE-2007-BLG-368L,17:56:26.0,-32:14:15,,,,,,5900.0,,0.64,,,,
OGLE-TR-10 b,0.68,1.72,3.10129,0.04162,0.0,84.5,2.8e-05,R,2004,2010-06-24,,,detected by transit,,OGLE-TR-10,17:51:28.0,-29:52:34,,14.93,,,,1500.0,0.28,1.18,1.16,G or K,1.1,6075.0
OGLE-TR-111 b,0.54,1.077,4.01451,0.047,0.0,88.1,3.1e-05,R,2004,2010-12-14,,,detected by transit,,OGLE-TR-111,10:53:18.0,-61:24:20,,15.55,,,,1500.0,0.12,0.82,0.831,G or K,1.1,5070.0
OGLE-TR-113 b,1.24,1.11,1.4324772,0.0229,0.0,89.4,1.5e-05,R,2004,2010-06-24,,,detected by transit,,OGLE-TR-113,10:52:24.0,-61:26:48,,14.42,,,,1500.0,0.14,0.78,0.765,K,0.7,4752.0
OGLE-TR-132 b,1.17,1.23,1.689868,0.0306,0.0,83.4,2e-05,R,2004,2010-12-16,,,detected by transit,,OGLE-TR-132,10:50:34.0,-61:57:25,,15.72,,,,1500.0,0.37,1.26,1.34,F,,6210.0
OGLE-TR-182 b,1.06,1.47,3.9791,0.051,0.0,85.7,,S,2007,2010-06-24,,,detected by transit,,OGLE-TR-182,11:09:19.0,-61:05:43,16.84,15.86,15.45,14.9,14.74,,0.37,1.14,1.14,,,5924.0
OGLE-TR-211 b,0.75,1.26,3.67724,0.051,0.0,87.2,,S,2007,2010-06-24,,,detected by transit,,OGLE-TR-211,10:40:15.0,-62:27:20,,14.3,,,,,0.11,1.33,1.64,,,6325.0
OGLE-TR-56 b,1.3,1.2,1.211909,0.0225,0.0,78.8,1.5e-05,R,2002,2010-06-24,,,detected by transit,,OGLE-TR-56,17:56:35.0,-29:32:21,16.6,,,,,1500.0,,1.17,1.32,G,2.0,
OGLE2-TR-L9 b,4.34,1.614,2.4855335,0.0308,,79.8,3.4e-05,R,2007,2010-12-06,,,detected by transit,,OGLE2-TR-L9,11:07:55.0,-61:08:46,,13.97,13.51,13.25,13.12,900.0,-0.05,1.52,1.53,F3,0.66,6933.0
OGLE235-MOA53 b,2.6,,,5.1,,,0.000981,R,2004,2006-06-10,,,detected by microlensing,,OGLE235-MOA53,18:05:16.0,-28:53:42,,19.7,,,,5200.0,,0.63,,,,
Oph 11 b,21.0,,730000.0,243.0,,,1.675862,R,2007,2011-12-14,,,detected by imaging,,Oph 11,16:22:25.0,-24:05:14,,,,,14.03,145.0,,0.162,,M9,0.011,2375.0
PSR 1257 12 b,7e-05,,25.262,0.19,0.0,,0.00038,R,1992,2010-12-22,0.0,,pulsar,,PSR 1257 12,13:00:04.0,+12:40:56,,,,,,500.0,,,,,1.0,
PSR 1257 12 c,0.013,,66.5419,0.36,0.0186,53.0,0.00072,R,1992,2010-12-22,250.4,,pulsar,,PSR 1257 12,13:00:04.0,+12:40:56,,,,,,500.0,,,,,1.0,
PSR 1257 12 d,0.012,,98.2114,0.46,0.0252,47.0,0.00092,R,1992,2010-12-22,108.3,,pulsar,,PSR 1257 12,13:00:04.0,+12:40:56,,,,,,500.0,,,,,1.0,
PSR 1719-14 b,1.0,0.4,0.090706293,0.0044,0.06,,,R,2011,2011-08-31,,2455235.51652,pulsar,,PSR 1719-14,17:19:10.0,-14:38:01,,,,,,1200.0,,1.4,,,12.5,
