010001 |R     And *|002402.0+383437 |M         |  5.8    |  15.2      |            |V |53820.      |     |   409.2            |38   |S3,5e-S8,8e(M7e) |HIP   00002|
010027 |TT    And *|231322.9+460851 |EA        | 11.5    |  13.1      |  11.6      |V |53662.4564  |     |     2.765101       |09  *|A                |N0038 GSC  |
010028 |TU    And  |003222.7+260146 |M         |  7.5    |  13.5      |            |V |53700.      |     |   316.8            |48   |M5e              |00001 00002|
010029 |TV    And  |225803.0+424411 |SRB       |  8.3    |  11.5      |            |V |            |     |   110.             |     |M4e-M5e          |00001 00002|
010030 |TW    And *|000318.2+325045 |EA        |  8.98   |  11.04     |   9.13     |V |53693.355   |     |     4.122834       |13   |F0V+K0           |00001 HIP  |
010031 |TX    And *|012158.4+384143 |M:        | 10.4    |  13.8      |            |V |32461.      |     |   233.4            |60   |M1e              |00001 00002|
010032 |TY    And  |231444.2+404739 |SRB       |  8.8    |  10.5      |            |V |            |     |   260.          :  |     |M5e-M6e          |00001 00002|
010033 |TZ    And  |235051.8+473028 |LB:       |  8.0    |   9.3      |            |V |            |     |                    |     |M5-6III          |00001 HIP  |
010034 |UU    And *|004345.1+305620 |EA        | 11.2    |  14.2      |(  0.2    R)|V |52925.426   |     |     1.486293       |17  *|A8IV/V           |00001 01136|
010035 |UV    And  |012917.6+363922 |SRB       | 10.84   |  11.9      |            |V |            |     |   227.             |     |                 |75119 75119|
010036 |UW    And  |001410.9+290121 |M         |  9.4    |< 15.0      |            |V |54024.      |     |   237.             |     |M5               |00001 00002|
010037 |UX    And  |023328.8+453916 |SRB       |  8.2    |   9.9      |            |V |            |     |   200.             |     |M6III            |00001 00002|
010038 |UY    And  |023823.8+391010 |LB        |  7.4    |  12.3      |            |V |            |     |                    |     |C5,4(N3)         |00104 00002|
010039 |UZ    And  |011611.2+414458 |M         |  9.1    |  15.6      |            |V |53990.      |     |   316.0            |41   |M7e              |00001 00002|
010041 |VW    And  |000440.1+344514 |CST       | 11.3    |            |            |V |            |     |                    |     |                 |00681 UCAC2|
010042 |VX    And *|001954.0+444234 |SRA       |  7.5    |   9.7      |            |V |            |     |   375.             |     |C4,5J(N7)        |N0039 00002|
010043 |VY    And  |230149.5+455309 |SRB       |  9.6    |  11.8      |            |V |            |     |   149.          :  |     |C3,5J-C4,4-5(R8) |00310 00002|
010045 |WW    And *|234453.5+454112 |EA        | 10.92   |(  0.67    )|(  0.16    )|V |34618.185   |     |    23.285213       |05  *|A5+F3p           |N0040 HIP  |
010046 |WX    And *|004537.3+284500 |EA        | 12.1    |  13.8      |            |V |52616.404   |     |     3.001134       |12   |F5IV             |N0041 01936|
010047 |WY    And *|234129.7+473544 |SRD       |  8.65   |   9.65     |            |V |            |     |   109.65           |43   |G2e-K2(M3)       |N0042 DM   |
010048 |WZ    And *|010143.6+380547 |EB        | 11.16   |  12.00     |  11.61     |V |52500.2323  |     |     0.6956638      |     |F5               |N0041 00002|
010049 |XX    And *|011727.4+385702 |RRAB      | 10.08   |  11.13     |            |V |53662.575   |     |     0.722757       |19   |A8-F6            |00001 00002|
010051 |XZ    And *|015651.5+420602 |EA        |  9.91   |  12.45     |            |V |52500.5129  |     |     1.3573091      |16  *|A1V              |N0041 00002|
010052 |YY    And  |235732.3+320221 |M         | 11.9    |< 15.2      |            |p |51504.      |     |   227.8            |     |                 |08009 GSC  |
010053 |YZ    And  |002714.2+305349 |M         |  9.7    |  15.9      |            |V |54092.      |     |   207.0            |     |M5e              |00001 00002|
010055 |AA    And *|230522.8+474035 |EB        | 10.3    |  11.2      |  10.6      |p |52500.730   |     |     0.9350969      |     |B8V              |N0041 HIP  |
010056 |AB    And *|231132.1+365335 |EW        |  9.49   |  10.46     |  10.32     |V |52500.0599  |     |     0.3318912      |     |G5+G5V           |N0041 00002|
010057 |AC    And *|231802.4+484658 |*         | 10.70   |(  1.2     )|            |V |28009.31    |     |     0.7112376      |     |A9-F8            |N0043 HIP  |
010058 |AD    And *|233645.0+484016 |EB        | 11.2    |(  0.62    )|(  0.58    )|V |52500.4854  |     |     0.986202       |     |A0V              |N0041 01983|
010062 |AH    And  |020554.6+404327 |M         |  9.3    |< 14.5      |            |V |50110.      |     |   480.2            |     |M4-M5e           |00001 00114|
010063 |AI    And  |231818.8+485731 |M         | 11.5    |  15.3      |            |p |42498.      |     |   327.             |     |                 |00001 00114|
010064 |AK    And  |232111.6+500012 |M         | 10.0    |< 15.0      |            |V |52930.      |     |   317.             |     |S:               |00001 00002|
010065 |AL    And  |232642.6+451456 |M         | 10.0    |< 18.       |            |V |50655.      |     |   293.             |     |                 |00001 00002|
010066 |AM    And *|000507.5+482705 |EA        | 12.5    |  13.7      |            |p |30696.373   |     |     8.850510       |08   |                 |03115 GSC  |
010067 |AN    And *|231823.3+414625 |EB        |  5.96   |   6.11     |   6.05     |V |48500.732   |     |     3.21952        |     |A7mIII-IV        |HIP   DM   |
010068 |AO    And  |231759.6+464512 |M         | 10.3    |  14.5      |            |V |51512.      |     |   332.4            |     |                 |00001 GSC  |
010069 |AP    And *|234930.7+454721 |EA        | 11.3    |  11.9      |  11.8      |p |52500.2120  |     |     1.5872910      |12  *|F5               |N0041 GSC  |
010070 |AQ    And *|002731.7+353515 |SRB       |  7.7    |   9.5      |            |V |            |     |   169.             |     |C5,4(Nb)         |N0039 DM   |
010071 |AR    And *|014503.3+375633 |UGSS      | 11.0    |  17.6      |            |V |            |     |(   23.           ) |     |pec(UG)          |09782 72085|
010073 |AT    And *|234230.8+430052 |RRAB      | 10.42   |  10.92     |            |V |53287.4851  |     |     0.6169122      |21   |F0-F7            |00001 HIP  |
010074 |AU    And  |014720.7+394756 |LB        |  9.9    |  10.6      |            |V |            |     |                    |     |M3               |01991 DM   |
010076 |AW    And *|235536.3+452035 |SR:       | 12.4    |  13.2      |            |p |            |     |   330.          :  |     |                 |01992 GSC  |
010077 |AX    And  |023246.1+462921 |M         |  9.3    |  16.2      |            |V |51980.      |     |   378.             |     |                 |00001 00002|
010078 |AY    And  |230137.0+525121 |CST:      | 11.0    |            |            |p |            |     |                    |     |                 |03118 00150|
010079 |AZ    And  |230351.0+485154 |M         | 10.2    |< 14.0      |            |V |53985.      |     |   194.4            |     |M4               |00001 00002|
010081 |BC    And  |230053.1+463038 |LB        | 10.3    |  11.3      |            |p |            |     |                    |     |M7III            |00098 00098|
010082 |BD    And *|230705.2+505731 |EB        | 11.3    |  11.7      |  11.4      |p |52500.3873  |     |     0.4629057      |     |F8               |N0041 00098|
010083 |BE    And  |231943.0+484009 |SRB       | 10.2    |  11.9      |            |p |            |     |   156.8            |     |M5               |02268 02345|
010084 |BF    And  |232153.4+491526 |LB        | 11.2    |  12.2      |            |p |            |     |                    |     |K-M:             |00098 00098|
010085 |BG    And  |233059.4+431556 |M         |  8.5    |  15.6      |            |V |54045.      |     |   289.5            |     |S6.5,5e          |00001 00002|
010086 |BH    And  |001715.6+223541 |SRB       | 10.0    |  11.4      |            |V |            |     |    98.5            |     |M5e              |01090 01090|
010087 |BI    And  |022554.3+380722 |SRB       | 11.9    |  13.0      |            |p |            |     |   159.5            |     |S8,8             |00821 00002|
010088 |BK    And *|233506.0+410611 |RRAB      | 12.40   |  13.43     |            |V |50740.413   |     |     0.4216035      |20   |                 |N0045 00534|
010089 |BL    And *|231124.3+515231 |EB        | 11.15   |(  0.77    )|(  0.32    )|V |52500.3814  |     |     0.72237587     |     |A0               |N0041 02345|
010090 |BM    And  |233738.4+482413 |INSB      | 11.63   |  14.02     |            |V |            |     |                    |     |F8ea-K5Vea       |N0046 02376|
010091 |BN    And  |011047.8+340737 |LB        | 10.8    |  11.9      |            |p |            |     |                    |     |M4               |00680 02377|
010094 |BQ    And  |230205.1+513540 |M         | 12.0    |  15.7      |            |p |51440.      |     |   156.             |45   |                 |00001 02344|
010098 |BU    And *|232339.9+394337 |M         |  9.4    |  14.2      |            |V |53585.      |     |   378.             |     |M7e              |00001 00002|
010100 |BW    And  |015633.1+390452 |SR        | 12.3    |  14.9      |            |p |51570.      |     |   179.8            |24   |                 |00868 01090|
010101 |BX    And *|020903.4+404739 |EB        |  8.87   |   9.53     |   9.12     |V |52500.3454  |     |     0.6101119      |     |F2V              |N0041 HIP  |
010102 |BY    And  |233733.4+474105 |SRD:      | 10.4    |  11.7      |            |p |            |     |                    |     |K9               |08658 DM   |
010103 |BZ    And  |003737.7+453615 |LB        |  7.7    |   8.6      |            |V |            |     |                    |     |K9               |00821 02377|
010104 |CC    And *|004348.0+421656 |DSCT      |  9.19   |   9.46     |            |V |            |     |     0.1249078      |40   |F3IV-V           |02269 HIP  |
010105 |CD    And *|012628.4+442125 |EA        |  9.9    |  10.4      |  10.4      |p |26414.418   |     |    68.8832         |06  *|F8               |N0050 02377|
010106 |CE    And *|012933.3+463933 |LB        | 10.3    |  12.4      |            |p |            |     |                    |     |M2               |00821 02377|
010107 |CF    And  |230343.8+375114 |LB        |  9.8    |  11.0      |            |p |            |     |                    |     |M7               |08021 DM   |
010108 |CG    And *|000043.6+451512 |ACV       |  6.32   |   6.42     |            |V |41152.67    |     |     3.73975        |     |B9pSiEu          |69120 HIP  |
010110 |CI    And *|015508.3+434557 |RRAB      | 11.76   |  12.66     |            |V |51441.803   |     |     0.4847267      |18   |A8               |00001 HIP  |
010111 |CK    And  |231301.0+423041 |LB        | 11.0    |  12.1      |            |p |            |     |                    |     |K5               |00821 00821|
010112 |CL    And  |231451.5+504627 |M         | 11.1    |< 17.3      |            |p |51410.      |     |   353.5            |     |M8               |02267 02270|
010113 |CM    And  |234306.6+352845 |SR        | 11.9    |< 13.7      |            |p |35457.      |     |   374.0            |     |M8               |00001 02380|
010114 |CN    And *|002030.5+401334 |EB        |  9.62   |  10.21     |   9.90     |V |50698.9447  |     |     0.46279092     |     |F5V              |N0049 DM   |
010115 |CO    And *|011124.8+465749 |EA        | 11.1    |  12.1  :   |            |p |52501.5247  |     |     1.8276678      |14   |F8               |N0041 02271|
010116 |CP    And *|021251.2+453752 |EA        | 11.4    |  12.9  :   |            |p |53674.285   |     |     3.608986       |11   |A5               |00001 02272|
010117 |CQ    And  |023132.0+455637 |SRA       | 10.3    |  13.3      |            |V |54095.      |     |   189.6            |     |M4               |00001 00002|
010118 |CR    And  |023813.0+463330 |LB:       | 10.8    |  11.6      |            |p |            |     |                    |     |M2               |00814 DM   |
010119 |CS    And  |225805.8+484534 |SR        | 12.1    |  13.4      |            |p |51420.      |     |   117.             |     |M6.5             |02267 02344|
010121 |CU    And *|230101.6+495825 |EA        | 12.5    |  16.       |            |p |50344.322   |     |     1.71601        |15   |                 |00001 02344|
010122 |CV    And  |230100.0+501832 |SRA       | 12.4    |  13.8      |            |p |51360.      |     |   261.             |     |45               |02267 02344|
010126 |CZ    And  |230900.9+493652 |EA        | 12.4    |  13.0      |            |p |31001.482   |     |     2.717200       |07   |A6               |02267 02375|
010132 |DI    And *|232656.3+485721 |CWB:      | 12.3    |  13.6      |            |p |51466.47    |     |     3.338          |     |                 |N0051 02345|
010133 |DK    And *|232845.9+503429 |EW        | 12.5    |  13.1      |  13.1      |p |51435.4353  |     |     0.4892224      |     |                 |N0052 02375|
010135 |DM    And  |233200.7+351149 |RRAB      | 12.4    |  13.2      |            |p |53320.357   |     |     0.630387       |28   |                 |00001 00558|
010137 |DO    And *|001057.1+420640 |EB        | 12.3    |  13.8      |  12.9      |p |52501.036   |     |     1.348707       |     |                 |N0041 00534|
010138 |DP    And  |001645.9+444031 |SR:       | 12.4    |  13.6      |            |p |51405.      |     |   113.             |     |M4e              |00001 00534|
010139 |DQ    And *|005934.5+452424 |CWB:      | 11.23   |  12.00     |            |V |51481.584   |     |     3.200635       |23   |K-M              |00001 02546|
010140 |DR    And *|010510.7+341306 |RRAB      | 11.65   |  12.94     |            |V |52620.4385  |     |     0.563130       |18   |A                |00001 02377|
010141 |DS    And *|015746.0+380428 |EA        | 10.44   |  10.93     |  10.71     |V |52500.6834  |     |     1.0105188      |17   |F2III            |N0041 03102|
010144 |DV    And  |230426.9+382236 |LB        | 10.8    |  12.5      |            |p |            |     |                    |     |K5               |08021 DM   |
010146 |DX    And *|232946.7+434505 |UGSS      | 11.0    |  15.5      |            |V |            |     |(  239.           ) |     |pec(UG)          |N0054 72085|
010148 |DZ    And  |003236.4+260121 |CST:      | 10.22   |            |            |V |            |     |                    |     |K2III            |08660 04008|
010150 |EF    And  |003943.9+463320 |SRA       | 11.4    |  12.6      |            |p |36088.      |     |   114.57           |     |M6               |N0056 03915|
010151 |EG    And *|004437.2+404046 |ZAND      |  6.97   |   7.8      |            |V |            |     |                    |     |M2IIIep          |N0057 DM   |
010152 |EH    And  |010312.7+455206 |LB        | 11.2    |  12.1      |            |p |            |     |                    |     |M7               |N0058 DM   |
010153 |EI    And  |010726.4+453634 |LB        | 10.7    |  11.4      |            |p |            |     |                    |     |M4               |04015 DM   |
010154 |EK    And  |011613.5+414422 |CST:      | 11.2    |            |            |V |            |     |                    |     |                 |N0059 06286|
010159 |EP    And *|014229.3+444542 |EW        | 11.3    |(  0.60    )|(  0.60    )|V |42638.522   |     |     0.40410755     |     |                 |N0062 00819|
010162 |ES    And  |231136.3+490024 |LB        | 11.5    |  12.5      |            |p |            |     |                    |     |M6               |04332 2MASS|
010163 |ET    And *|231756.0+452920 |ACV       |  6.48   |(  0.03    )|            |V |            |     |     1.618875       |     |B9pSi            |N0063 HIP  |
010164 |EU    And *|231958.9+471435 |LB:       | 10.7    |  11.8      |            |V |            |     |                    |     |C4,4(R)          |00001 N0064|
010166 |EW    And  |232657.4+493059 |LB        | 10.8    |  11.8      |            |p |            |     |                    |     |C7,3(Nb)         |04336 04336|
010170 |FF    And *|004248.3+353256 |UV+BY     | 12.02   |  12.90     |            |U |            |     |                    |     |M1Ve+M1Ve        |07472 HIP  |
010171 |FG    And  |004412.0+450338 |LB        | 12.4    |  14.2      |            |p |            |     |                    |     |M                |07434 04015|
010190 |GG    And  |233719.8+470628 |SRB:      |  8.4    |   8.9      |            |V |            |     |                    |     |M5:              |03914 DM   |
010193 |GK    And *|235347.2+453446 |EA        | 11.3    |  12.4      |  11.5      |p |52501.745   |     |     2.009316       |12  *|                 |N0041 03915|
010194 |GL    And  |235457.7+452337 |LB        |  9.6    |  10.2      |            |p |            |     |                    |     |K4               |03915 03915|
010195 |GM    And  |000003.6+352146 |RRAB      | 12.43   |  13.30     |            |V |47548.628   |     |     0.7067585      |09   |                 |N0069 03917|
010196 |GN    And *|003007.4+294506 |DSCTC     |  5.23   |(  0.05    )|            |V |            |     |     0.069304115    |     |A9IV             |N0070 HIP  |
010197 |GO    And  |005018.3+450008 |ACV       |  6.12   |(  0.04    )|            |V |            |     |     2.5481         |     |A0pSrCrEu        |N0071 HIP  |
010198 |GP    And *|005518.1+230949 |DSCT      | 10.53   |(  0.6     )|            |V |47005.61456 |     |     0.0786827620   |31   |A3               |N0072 HIP  |
010199 |GQ    And *|001825.8+440138 |UV+BY:    | 12.2    |  12.8      |            |B |            |     |                    |     |M6Ve             |05825 09033|
010200 |GR    And  |002828.6+322616 |ACV       |  6.87   |   6.95     |            |V |            |     |   546.87           |     |A2pSrCrEu        |N0073 HIP  |
010206 |GX    And *|001822.9+440123 |UV        | 10.30   |  10.85     |            |U |            |     |                    |     |M1Ve             |N0074 09033|
010207 |GY    And *|013831.8+452359 |ACV       |  6.27   |   6.44     |            |V |            |     |  8000.          :  |     |B9VpCrEu         |N0075 HIP  |
010208 |GZ    And *|021214.1+443934 |EW        | 10.83   |  11.61     |  11.58     |V |52500.1211  |     |     0.3050169      |     |                 |N0041 06830|
010209 |HH    And  |234155.0+441039 |BY        | 12.23   |  12.34     |            |V |            |     |                    |     |M5.5Ve           |73018 GSC  |
010212 |HL    And  |005756.4+382705 |SRB       | 12.0    |  14.2      |            |p |            |     |   100.          :  |     |                 |00001 07434|
010214 |HN    And *|012418.7+430832 |ACV       |  6.67   |   6.76     |            |V |            |     |    69.92           |     |A2pSrCrEu        |06992 DM   |
010215 |HO    And  |000722.0+435504 |LB        | 12.0    |  13.0      |            |p |            |     |                    |     |C6,4             |02579 GSC  |
010216 |HP    And  |001909.1+412742 |GAL:      | 10.5    |< 14.5      |            |p |            |     |                    |     |                 |N0079 07734|
010239 |IV    And  |005927.1+393717 |SR:       | 10.0    |  10.9      |            |p |            |     |   300.          :  |     |M7               |00001 07434|
010244 |KK    And  |013416.6+371414 |ACV       |  5.91   |(  0.012   )|            |V |            |     |     0.6684         |     |B9IVpSi          |07740 HIP  |
010245 |KL    And  |021408.0+473945 |M:        | 11.     |< 13.       |            |R |51550.      |     |   270.          :  |     |C-S              |00001 GSC  |
010247 |KN    And  |023608.8+380922 |EA        | 11.7    |  13.1      |            |p |52502.2558  |     |     2.2621866      |10 : |                 |N0041 06976|
010249 |KP    And *|230956.5+413504 |EA        | 11.5    |  12.9      |(  0.1    R)|p |51408.708   |     |     1.40538        |18   |A0               |N0060 00534|
010250 |KQ    And  |233043.5+460911 |LB:       |  9.4    |  10.1      |            |p |            |     |                    |     |K5               |05526 05526|
010251 |KR    And  |234439.9+420332 |LB:       | 10.4    |  10.9      |            |p |            |     |                    |     |M                |04109 08662|
010252 |KS    And  |234505.3+465531 |LB        |  9.4    |  10.0      |            |p |            |     |                    |     |M2               |05526 05526|
010253 |KT    And  |234808.9+444337 |SR:       | 11.2    |  11.9      |            |p |            |     |                    |     |M5               |08662 08662|
010254 |KU    And  |000652.8+430501 |M         |  6.5    |  10.5  :   |            |I |42345.      |     |   660.          :  |     |M10              |68064 03586|
010257 |KX    And *|230706.2+501133 |BE        |  6.88   |   7.28     |            |V |            |     |                    |     |B3pe+K1III       |N0088 HIP  |
010258 |KY    And  |230916.8+493902 |BE        |  6.68   |   6.95 :   |            |V |            |     |                    |     |B3Vne            |N0089 HIP  |
010259 |KZ    And *|230957.4+475730 |BY        |  7.91   |   8.03     |            |V |            |     |     3.03           |     |K2Ve+K2Ve        |N0115 HIP  |
010261 |LM    And *|021109.3+485134 |EB        | 12.2    |  13.5      |  12.7      |p |53268.465   |     |     0.7611836      |     |                 |00001 08307|
010262 |LN    And *|230245.1+440332 |CST:      |  6.39   |            |            |V |            |     |                    |     |B2V              |N0091 HIP  |
010263 |LO    And *|232706.7+453322 |EW        | 11.2    |  11.8      |  11.7      |V |52500.2505  |     |     0.3804427      |     |                 |N0041 04364|
010264 |LP    And  |233427.5+433301 |M         |  1.8    |   3.7      |            |K |46340.      |     |   614.             |     |C8,3.5e          |N0092 06977|
010265 |LQ    And *|235846.4+462448 |BE        |  6.50   |   6.66     |            |V |            |     |     0.309446       |     |B4Ven            |HIP   HIP  |
010266 |LR    And *|002249.9+292715 |ELL       |  7.10   |   7.15     |   7.14     |V |44854.8800  |     |     1.432321       |     |A3V              |N0093 HIP  |
010272 |LX    And  |021944.1+402723 |UG        | 12.2    |  16.5      |            |V |            |     |                    |     |pec(UG)          |N0094 09384|
010294 |NS    And  |004903.7+351311 |LB        | 11.1    |  12.2      |            |p |            |     |                    |     |M3               |09685 09685|
010302 |OO    And  |013103.7+350738 |LB        | 11.1    |  12.5      |            |p |            |     |                    |     |                 |09685 09685|
010303 |OP    And  |013627.2+484322 |RS:       |  6.27   |   6.41     |            |Hp|            |     |     2.35954        |     |K1III:           |HIP   HIP  |
010304 |OQ    And  |014207.8+392444 |LB        |  7.64   |   7.73     |            |V |            |     |                    |     |M3III            |68006 HIP  |
010307 |OT    And *|232001.2+414518 |EA        |  7.32   |   7.72     |            |V |45711.73    |     |    20.85290        |03   |                 |68007 HIP  |
010308 |OU    And  |234941.0+362531 |FKCOM:    |  5.87   |   5.94     |            |V |            |     |    24.2         :  |     |G1IIIe           |N0097 HIP  |
010309 |OV    And *|002044.9+404942 |RRAB      | 11.38   |  12.70     |            |V |53335.418   |     |     0.470580       |10   |                 |N0098 69003|
010315 |PQ    And *|022929.5+400240 |UG        | 10.0    |  19.       |            |V |            |     |                    |     |pec(UG)          |N0099 76005|
010316 |PR    And  |231523.5+501855 |SRB:      | 10.4    |  11.3      |            |V |            |     |    96.          :  |     |S                |69010 GSC  |
010317 |PS    And  |003937.7+381325 |SR        | 10.7    |  11.4      |            |p |            |     |   375.             |     |                 |70001 70001|
010320 |PV    And  |235537.9+462130 |ACV       |  6.91   |   6.99     |            |V |            |     |     3.5112         |     |B9pSi            |N0101 HIP  |
010321 |PW    And  |001820.9+305722 |RS        |  8.67   |(  0.10    )|            |V |            |     |     1.745          |     |K2V              |71001 DM   |
010323 |PY    And *|003620.1+271517 |ACV       |  6.02   |(  0.03    )|            |U |            |     |     4.6904         |     |B8IIIpHgMn       |71005 HIP  |
010324 |PZ    And  |022058.2+500905 |ACV       |  5.59   |(  0.05    )|            |V |            |     |     4.1890         |     |B9VpSi           |N0102 HIP  |
010325 |QQ    And  |231751.4+405131 |SR        | 10.5    |  11.2      |            |p |            |     |    72.4            |     |M8               |72002 DM   |
010326 |QR    And *|001949.9+215652 |EA+NL     | 12.16   |  13.07     |            |V |35799.247   |     |     0.6604565      |     |pec(e)           |73002 73002|
010328 |QT    And  |004117.3+342517 |BY+UV     |  9.5    |(  0.43  Rc)|            |V |            |     |     1.536          |     |K3Ve             |73004 DM   |
010329 |QU    And *|011306.1+413916 |RS        |  7.25   |(  0.05    )|            |V |            |     |    21.08           |     |G5IV             |78018 HIP  |
010330 |QV    And  |011624.5+480456 |ACV       |  6.22   |(  0.05    )|            |U |            |     |     5.229          |     |B9IIIpSi         |67131 HIP  |
010332 |QX    And *|015757.8+374823 |EW        | 11.28   |  11.50     |  11.49     |V |46785.8003  |     |     0.411816       |     |F6               |73008 02581|
010333 |QY    And *|021108.5+485141 |SR:       | 11.1    |  11.9      |            |p |            |     |  2200.          :  |     |                 |08307 08307|
010335 |V0335 And  |230202.4+395951 |M         | 11.8    |  14.5      |            |V |49540.      |     |   280.             |     |                 |73011 73011|
010336 |V0336 And *|230224.0+414337 |M         | 11.6    |< 15.0      |            |V |49520.      |     |   270.             |     |                 |73011 73011|
010337 |V0337 And *|231625.9+384347 |M         | 11.3    |  14.4      |            |V |49820.      |     |   362.             |     |                 |73011 73011|
010338 |V0338 And  |232541.7+454205 |M         | 12.0    |< 14.0      |            |V |49520.      |     |   348.             |     |                 |73011 73011|
010339 |V0339 And  |233407.7+462002 |M         | 11.3    |< 15.0      |            |V |49981.      |     |   325.             |     |                 |73011 73011|
010340 |V0340 And  |233437.5+401411 |DSCTC     |  5.69   |(  0.03    )|            |B |            |     |     0.063          |     |A1Vp             |N0104 DM   |
010341 |V0341 And  |000710.2+345114 |LB        |  8.63   |   8.94     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
010342 |V0342 And *|001003.2+462325 |EA        |  7.58   |   7.72     |   7.70     |Hp|48500.6933  |     |     2.63934        |05   |A3               |HIP   HIP  |
010343 |V0343 And  |001047.2+321433 |LB        |  7.04   |   7.55     |            |Hp|            |     |                    |     |M2               |HIP   HIP  |
010344 |V0344 And  |001122.4+302659 |BY        |  7.95   |(  0.04    )|            |V |            |     |     6.105          |     |K0V              |78018 HIP  |
010345 |V0345 And  |001215.8+434906 |SRB:      |  7.79   |   7.98     |            |Hp|            |     |    45.13           |     |M4               |HIP   HIP  |
010346 |V0346 And  |001350.2+365137 |LB:       |  8.98   |   9.10     |            |Hp|            |     |                    |     |K5               |HIP   HIP  |
010347 |V0347 And  |001349.5+253307 |SRS:      |  9.38   |   9.72     |            |Hp|48510.60    |     |    15.11           |     |M2               |HIP   HIP  |
010348 |V0348 And *|001517.8+441212 |EA        |  6.75   |   6.90     |            |Hp|48504.070   |     |     5.5392         |     |B9               |HIP   HIP  |
010349 |V0349 And  |001609.4+475334 |LB:       |  8.81   |   8.93     |            |Hp|            |     |                    |     |M0               |HIP   HIP  |
010350 |V0350 And  |002602.7+354909 |EA        |  7.56   |   7.63     |            |Hp|47947.413   |     |     1.538824    :  |10   |A3               |HIP   HIP  |
010351 |V0351 And  |002801.4+270551 |LB        |  9.12   |   9.49     |            |Hp|            |     |                    |     |M5               |HIP   HIP  |
010352 |V0352 And  |002911.2+445942 |LB:       |  9.01   |   9.13     |            |Hp|            |     |                    |     |M0               |HIP   HIP  |
