010004 |U     And  |011529.7+404308 |M         |  9.0    |  15.0      |V |49564.      |     |   347.7            |40   |M6e              |00001 00002|
010055 |AA    And *|230522.8+474035 |EB        | 10.3    |  11.2      |p |52500.730   |     |     0.9350969      |     |B8V              |N0041 HIP  |
010056 |AB    And *|231132.1+365335 |EW        |  9.49   |  10.46     |V |52500.0599  |     |     0.3318912      |     |G5+G5V           |N0041 00002|
010057 |AC    And *|231802.3+484658 |*         | 10.70   |(  1.2     )|V |28009.31    |     |     0.7112376      |     |A9-F8            |N0043 HIP  |
010058 |AD    And *|233645.0+484016 |EB        | 11.2    |(  0.62    )|V |52500.4854  |     |     0.986202       |     |A0V              |N0041 01983|
010062 |AH    And  |020554.6+404327 |M         |  9.3    |< 14.5      |V |50110.      |     |   480.2            |     |M4-M5e           |00001 00114|
010063 |AI    And  |231818.8+485731 |M         | 11.5    |  15.3      |p |42498.      |     |   327.             |     |                 |00001 00114|
010064 |AK    And  |232111.6+500012 |M         | 10.0    |< 15.0      |V |52930.      |     |   317.             |     |S:               |00001 00002|
010065 |AL    And  |232642.6+451456 |M         | 10.0    |< 18.       |V |50655.      |     |   293.             |     |                 |00001 00002|
010068 |AO    And  |231759.6+464512 |M         | 10.3    |  14.5      |V |51512.      |     |   332.4            |     |                 |00001 GSC  |
010069 |AP    And *|234930.7+454721 |EA        | 11.3    |  11.9      |p |52500.2120  |     |     1.5872910      |12  *|F5               |N0041 GSC  |
010071 |AR    And *|014503.3+375633 |UGSS      | 11.0    |  17.6      |V |            |     |(   23.           ) |     |pec(UG)          |09782 72085|
010073 |AT    And *|234230.8+430052 |RRAB      | 10.42   |  10.92     |V |53287.4851  |     |     0.6169122      |21   |F0-F7            |00001 HIP  |
010074 |AU    And  |014720.7+394755 |LB        |  9.9    |  10.6      |V |            |     |                    |     |M3               |01991 DM   |
010077 |AX    And  |023246.1+462921 |M         |  9.3    |  16.2      |V |51980.      |     |   378.             |     |                 |00001 00002|
010078 |AY    And  |230137.0+525121 |CST:      | 11.0    |            |p |            |     |                    |     |                 |03118 00150|
010079 |AZ    And  |230351.0+485154 |M         | 10.2    |< 14.0      |V |53985.      |     |   194.4            |     |M4               |00001 00002|
010081 |BC    And  |230053.1+463038 |LB        | 10.3    |  11.3      |p |            |     |                    |     |M7III            |00098 00098|
010082 |BD    And *|230705.2+505731 |EB        | 11.3    |  11.7      |p |52500.3873  |     |     0.4629057      |     |F8               |N0041 00098|
010083 |BE    And  |231943.0+484009 |SRB       | 10.2    |  11.9      |p |            |     |   156.8            |     |M5               |02268 02345|
010084 |BF    And  |232153.4+491526 |LB        | 11.2    |  12.2      |p |            |     |                    |     |K-M:             |00098 00098|
010085 |BG    And  |233059.4+431556 |M         |  8.5    |  15.6      |V |54045.      |     |   289.5            |     |S6.5,5e          |00001 00002|
010086 |BH    And  |001715.6+223541 |SRB       | 10.0    |  11.4      |V |            |     |    98.5            |     |M5e              |01090 01090|
010089 |BL    And *|231124.3+515231 |EB        | 11.15   |(  0.77    )|V |52500.3814  |     |     0.72237587     |     |A0               |N0041 02345|
010091 |BN    And  |011047.8+340737 |LB        | 10.8    |  11.9      |p |            |     |                    |     |M4               |00680 02377|
010098 |BU    And *|232339.9+394337 |M         |  9.4    |  14.2      |V |53585.      |     |   378.             |     |M7e              |00001 00002|
010101 |BX    And *|020903.4+404739 |EB        |  8.87   |   9.53     |V |52500.3454  |     |     0.6101119      |     |F2V              |N0041 HIP  |
010102 |BY    And  |233733.4+474105 |SRD:      | 10.4    |  11.7      |p |            |     |                    |     |K9               |08658 DM   |
010104 |CC    And *|004348.0+421656 |DSCT      |  9.19   |   9.46     |V |            |     |     0.1249078      |40   |F3IV-V           |02269 HIP  |
010105 |CD    And *|012628.4+442125 |EA        |  9.9    |  10.4      |p |26414.418   |     |    68.8832         |06  *|F8               |N0050 02377|
010106 |CE    And *|012933.3+463933 |LB        | 10.3    |  12.4      |p |            |     |                    |     |M2               |00821 02377|
010107 |CF    And  |230343.8+375114 |LB        |  9.8    |  11.0      |p |            |     |                    |     |M7               |08021 DM   |
010111 |CK    And  |231301.0+423041 |LB        | 11.0    |  12.1      |p |            |     |                    |     |K5               |00821 00821|
010112 |CL    And  |231451.5+504627 |M         | 11.1    |< 17.3      |p |51410.      |     |   353.5            |     |M8               |02267 02270|
010114 |CN    And *|002030.5+401334 |EB        |  9.62   |  10.21     |V |50698.9447  |     |     0.46279092     |     |F5V              |N0049 DM   |
010115 |CO    And *|011124.8+465749 |EA        | 11.1    |  12.1  :   |p |52501.5247  |     |     1.8276678      |14   |F8               |N0041 02271|
010116 |CP    And *|021251.2+453752 |EA        | 11.4    |  12.9  :   |p |53674.285   |     |     3.608986       |11   |A5               |00001 02272|
010117 |CQ    And  |023132.0+455637 |SRA       | 10.3    |  13.3      |V |54095.      |     |   189.6            |     |M4               |00001 00002|
010118 |CR    And  |023813.0+463330 |LB:       | 10.8    |  11.6      |p |            |     |                    |     |M2               |00814 DM   |
010139 |DQ    And *|005934.5+452424 |CWB:      | 11.23   |  12.00     |V |51481.584   |     |     3.200635       |23   |K-M              |00001 02546|
010141 |DS    And *|015746.1+380428 |EA        | 10.44   |  10.93     |V |52500.6834  |     |     1.0105188      |17   |F2III            |N0041 03102|
010144 |DV    And  |230426.9+382236 |LB        | 10.8    |  12.5      |p |            |     |                    |     |K5               |08021 DM   |
010146 |DX    And *|232946.7+434505 |UGSS      | 11.0    |  15.5      |V |            |     |(  239.           ) |     |pec(UG)          |N0054 72085|
010148 |DZ    And  |003236.4+260121 |CST:      | 10.22   |            |V |            |     |                    |     |K2III            |08660 04008|
010150 |EF    And  |003943.9+463320 |SRA       | 11.4    |  12.6      |p |36088.      |     |   114.57           |     |M6               |N0056 03915|
010152 |EH    And  |010312.7+455206 |LB        | 11.2    |  12.1      |p |            |     |                    |     |M7               |N0058 DM   |
010153 |EI    And  |010726.4+453634 |LB        | 10.7    |  11.4      |p |            |     |                    |     |M4               |04015 DM   |
010154 |EK    And  |011613.5+414422 |CST:      | 11.2    |            |V |            |     |                    |     |                 |N0059 06286|
010159 |EP    And *|014229.3+444542 |EW        | 11.3    |(  0.60    )|V |42638.522   |     |     0.40410755     |     |                 |N0062 00819|
010162 |ES    And  |231136.3+490024 |LB        | 11.5    |  12.5      |p |            |     |                    |     |M6               |04332 2MASS|
010164 |EU    And *|231958.9+471435 |LB:       | 10.7    |  11.8      |V |            |     |                    |     |C4,4(R)          |00001 N0064|
010166 |EW    And  |232657.4+493059 |LB        | 10.8    |  11.8      |p |            |     |                    |     |C7,3(Nb)         |04336 04336|
010190 |GG    And  |233719.8+470628 |SRB:      |  8.4    |   8.9      |V |            |     |                    |     |M5:              |03914 DM   |
010193 |GK    And *|235347.2+453446 |EA        | 11.3    |  12.4      |p |52501.745   |     |     2.009316       |12  *|                 |N0041 03915|
010194 |GL    And  |235457.7+452337 |LB        |  9.6    |  10.2      |p |            |     |                    |     |K4               |03915 03915|
010198 |GP    And *|005518.1+230949 |DSCT      | 10.53   |(  0.6     )|V |47005.61456 |     |     0.0786827620   |31   |A3               |N0072 HIP  |
010206 |GX    And *|001822.9+440123 |UV        | 10.30   |  10.85     |U |            |     |                    |     |M1Ve             |N0074 09033|
010208 |GZ    And *|021214.1+443934 |EW        | 10.83   |  11.61     |V |52500.1211  |     |     0.3050169      |     |                 |N0041 06830|
010216 |HP    And  |001909.1+412742 |GAL:      | 10.5    |< 14.5      |p |            |     |                    |     |                 |N0079 07734|
010239 |IV    And  |005927.1+393716 |SR:       | 10.0    |  10.9      |p |            |     |   300.          :  |     |M7               |00001 07434|
010245 |KL    And  |021408.0+473945 |M:        | 11.     |< 13.       |R |51550.      |     |   270.          :  |     |C-S              |00001 GSC  |
010249 |KP    And *|230956.5+413503 |EA        | 11.5    |  12.9      |p |51408.708   |     |     1.40538        |18   |A0               |N0060 00534|
010250 |KQ    And  |233043.5+460911 |LB:       |  9.4    |  10.1      |p |            |     |                    |     |K5               |05526 05526|
010251 |KR    And  |234439.9+420332 |LB:       | 10.4    |  10.9      |p |            |     |                    |     |M                |04109 08662|
010252 |KS    And  |234505.3+465531 |LB        |  9.4    |  10.0      |p |            |     |                    |     |M2               |05526 05526|
010253 |KT    And  |234808.9+444337 |SR:       | 11.2    |  11.9      |p |            |     |                    |     |M5               |08662 08662|
010263 |LO    And *|232706.7+453322 |EW        | 11.2    |  11.8      |V |52500.2505  |     |     0.3804427      |     |                 |N0041 04364|
010294 |NS    And  |004903.7+351311 |LB        | 11.1    |  12.2      |p |            |     |                    |     |M3               |09685 09685|
010302 |OO    And  |013103.7+350738 |LB        | 11.1    |  12.5      |p |            |     |                    |     |                 |09685 09685|
010309 |OV    And *|002044.9+404942 |RRAB      | 11.38   |  12.70     |V |53335.418   |     |     0.470580       |10   |                 |N0098 69003|
010315 |PQ    And *|022929.5+400240 |UG        | 10.0    |  19.       |V |            |     |                    |     |pec(UG)          |N0099 76005|
010316 |PR    And  |231523.5+501855 |SRB:      | 10.4    |  11.3      |V |            |     |    96.          :  |     |S                |69010 GSC  |
010317 |PS    And  |003937.7+381325 |SR        | 10.7    |  11.4      |p |            |     |   375.             |     |                 |70001 70001|
010321 |PW    And  |001820.9+305722 |RS        |  8.67   |(  0.10    )|V |            |     |     1.745          |     |K2V              |71001 DM   |
010325 |QQ    And  |231751.4+405131 |SR        | 10.5    |  11.2      |p |            |     |    72.4            |     |M8               |72002 DM   |
010328 |QT    And  |004117.3+342517 |BY+UV     |  9.5    |(  0.43  Rc)|V |            |     |     1.536          |     |K3Ve             |73004 DM   |
010332 |QX    And *|015757.8+374822 |EW        | 11.28   |  11.50     |V |46785.8003  |     |     0.411816       |     |F6               |73008 02581|
010333 |QY    And *|021108.5+485141 |SR:       | 11.1    |  11.9      |p |            |     |  2200.          :  |     |                 |08307 08307|
010337 |V0337 And *|231625.9+384347 |M         | 11.3    |  14.4      |V |49820.      |     |   362.             |     |                 |73011 73011|
010339 |V0339 And  |233407.7+462002 |M         | 11.3    |< 15.0      |V |49981.      |     |   325.             |     |                 |73011 73011|
010341 |V0341 And  |000710.2+345114 |LB        |  8.63   |   8.94     |Hp|            |     |                    |     |                 |HIP   HIP  |
010346 |V0346 And  |001350.2+365137 |LB:       |  8.98   |   9.10     |Hp|            |     |                    |     |K5               |HIP   HIP  |
010347 |V0347 And  |001349.5+253307 |SRS:      |  9.38   |   9.72     |Hp|48510.60    |     |    15.11           |     |M2               |HIP   HIP  |
010349 |V0349 And  |001609.4+475334 |LB:       |  8.81   |   8.93     |Hp|            |     |                    |     |M0               |HIP   HIP  |
010351 |V0351 And  |002801.4+270551 |LB        |  9.12   |   9.49     |Hp|            |     |                    |     |M5               |HIP   HIP  |
010352 |V0352 And  |002911.1+445942 |LB:       |  9.01   |   9.13     |Hp|            |     |                    |     |M0               |HIP   HIP  |
010353 |V0353 And  |003026.2+402209 |LB:       |  9.44   |   9.59     |Hp|            |     |                    |     |M0               |HIP   HIP  |
010354 |V0354 And  |003336.8+395303 |SRD:      |  8.65   |   8.78     |Hp|            |     |    10.877          |     |K0               |HIP   HIP  |
010356 |V0356 And  |004439.0+363609 |LB:       |  9.04   |   9.17     |Hp|            |     |                    |     |M1               |HIP   HIP  |
010358 |V0358 And  |005921.9+425104 |LB:       |  8.22   |   8.36     |Hp|            |     |                    |     |M2               |HIP   HIP  |
010359 |V0359 And  |010252.7+470250 |BY:       | 10.89   |  11.31     |Hp|            |     |                    |     |M0               |HIP   HIP  |
010362 |V0362 And  |012807.0+422801 |E:        |  8.42   |   8.55     |Hp|            |     |    18.518518    :  |     |M0               |HIP   HIP  |
010363 |V0363 And *|013146.6+360538 |EB        |  9.10   |   9.37     |Hp|48500.3980  |     |     1.27799        |     |A2               |HIP   HIP  |
010364 |V0364 And  |013250.5+453732 |LB        |  9.21   |   9.31     |Hp|            |     |                    |     |K2III            |HIP   HIP  |
010368 |V0368 And  |015143.2+390826 |LB        |  9.01   |   9.58     |Hp|            |     |                    |     |M8               |HIP   HIP  |
010369 |V0369 And *|015754.9+473353 |LB:       |  9.07   |   9.18     |Hp|            |     |                    |     |M0               |HIP   HIP  |
010371 |V0371 And *|020212.9+364301 |BY:       |  8.30   |   8.34     |Hp|            |     |     1.4937         |     |G5               |HIP   HIP  |
010372 |V0372 And *|020518.2+450534 |EA        |  9.05   |   9.53     |Hp|51483.5838  |     |     2.940986       |11   |A5               |00001 HIP  |
010374 |V0374 And  |020657.2+451104 |E:        | 10.30   |  11.55     |Hp|            |     |                    |     |M0               |HIP   HIP  |
010382 |V0382 And *|230958.0+425009 |EB        |  9.16   |   9.44     |Hp|51402.871   |     |     1.478983       |     |A0               |00001 HIP  |
010383 |V0383 And  |231549.3+423444 |LB:       |  8.35   |   8.46     |Hp|            |     |                    |     |M0               |HIP   HIP  |
010384 |V0384 And  |232352.0+490408 |LB:       |  9.22   |   9.41     |Hp|            |     |                    |     |M2               |HIP   HIP  |
010386 |V0386 And  |232414.9+352947 |LB:       |  9.32   |   9.53     |Hp|            |     |                    |     |M0               |HIP   HIP  |
010389 |V0389 And  |233201.3+434921 |EA        |  8.22   |   8.32     |Hp|            |     |                    |     |A0               |HIP   HIP  |
010391 |V0391 And  |233524.2+364454 |LB        |  9.05   |   9.43     |Hp|            |     |                    |     |M2               |HIP   HIP  |
010392 |V0392 And *|233848.7+442445 |EA        |  9.07   |   9.41     |V |48035.107   |     |     4.046275       |06  *|A2               |N0109 HIP  |
010393 |V0393 And *|233912.5+503242 |LB:       | 10.31   |  10.38     |Hp|            |     |                    |     |                 |HIP   HIP  |
010397 |V0397 And  |235207.5+375101 |LB:       |  8.60   |   8.72     |Hp|            |     |                    |     |M5               |HIP   HIP  |
010398 |V0398 And  |235245.1+345818 |LB:       |  8.23   |   8.34     |Hp|            |     |                    |     |M2               |HIP   HIP  |
010400 |V0400 And  |235857.8+404732 |E         |  8.57   |   8.65     |Hp|            |     |                    |     |A5               |HIP   HIP  |
010401 |V0401 And  |000054.8+324932 |LB:       |  9.04   |   9.14     |Hp|            |     |                    |     |M0               |HIP   HIP  |
010404 |V0404 And *|010124.4+411501 |EA/RS     | 10.3    |  10.9      |Rc|52500.3140  |     |     0.67603321     |18  *|                 |N0041 75003|
010405 |V0405 And  |022226.0+472919 |RS        | 11.0    |  11.31     |V |            |     |     0.46543        |     |M0Ve+dM5e        |75004 75004|
010406 |V0406 And *|023525.6+455603 |EB        |  9.22   |   9.42     |V |52500.27    |     |     2.165032       |     |B8               |N0041 HIP  |
010417 |V0417 And  |011604.7+501145 |M         | 11.1    |  14.7      |V |51129.      |     |   281.             |     |                 |76002 76002|
010418 |V0418 And  |013005.8+501001 |M         | 11.3    |  14.4      |V |51161.      |     |   305.             |     |                 |76002 76002|
010419 |V0419 And *|020902.3+393532 |DSCTC     |  9.14   |(  0.04    )|B |            |     |     0.054          |     |F0               |76019 HIP  |
010420 |V0420 And *|021821.3+504603 |M         | 11.0    |< 15.0      |V |52178.      |     |   355.8            |     |                 |00001 76020|
010421 |V0421 And  |022320.9+484342 |M         | 10.1    |< 12.       |V |            |     |                    |     |C6,2e            |76023 76023|
010431 |V0431 And  |014222.7+485735 |SR:       | 11.1    |  12.1      |V |            |     |                    |     |                 |77004 GSC  |
010433 |V0433 And  |015138.1+391544 |SR:       |  9.8    |  10.9      |V |            |     |                    |     |                 |77004 GSC  |
010435 |V0435 And  |021249.4+471147 |LB        | 10.9    |  11.6      |V |            |     |                    |     |M1               |77004 GSC  |
010437 |V0437 And  |022725.0+425959 |LB        | 11.0    |  11.9      |V |            |     |                    |     |                 |77004 GSC  |
010438 |V0438 And  |023406.1+433136 |LB        | 11.5    |  12.4      |V |            |     |                    |     |M1               |77004 GSC  |
010448 |V0448 And  |020321.2+462348 |M         | 10.5    |  13.6      |* |51410.      |     |   285.          :  |     |                 |N0103 GSC  |
010455 |V0455 And  |233401.4+392141 |UG        |  8.7    |  16.6      |V |            |     |                    |     |pec(e)           |79103 79104|
010456 |V0456 And  |001352.6+452634 |SR        | 10.1    |  11.1      |* |51470.      |     |   240.          :  |     |                 |79100 79010|
010459 |V0459 And  |023357.9+455956 |M         | 10.8    |< 13.8      |* |51484.      |     |   384.          :  |     |                 |79036 79026|
010461 |V0461 And  |231159.0+493937 |LB        |  9.6    |   9.9      |* |            |     |                    |     |M6               |79100 79177|
010464 |V0464 And  |232401.8+465212 |SRB       |  9.9    |  10.6      |V |            |     |   120.             |     |M3               |79100 79228|
010468 |V0468 And  |000946.5+401135 |EA        | 10.90   |  11.56     |* |51415.8742  |     |    12.757          |10  |                  |80001 80016| NL80
010471 |V0471 And  |001357.6+350243 |RS        | 11.5    |  11.7      |* |            |     |     2.573          |    |                  |80021 GSC  | NL80
010476 |V0476 And  |001825.0+232434 |RS        |  9.93   |  10.25     |V |            |     |     1.5371         |    |G0                |80021 DM   | NL80
010478 |V0478 And *|001855.9+223940 |DSCT      | 10.38   |  10.60     |V |            |     |     0.09600        |    |                  |80029 DM   | NL80
010481 |V0481 And  |002001.1+275954 |RS        | 10.05   |  10.25     |V |            |     |     4.6817         |    |G5                |80021 GSC  | NL80
010482 |V0482 And  |002034.6+402506 |E/RS      | 11.25   |  11.60     |* |51475.7     |     |    11.284          |    |                  |80028 80028| NL80
010485 |V0485 And  |002119.2+352415 |EW        | 11.08   |  11.23     |* |51505.709   |     |     1.03257        |    |                  |80033 80033| NL80
010486 |V0486 And  |002123.0+334237 |RS        | 10.67   |  10.85     |* |            |     |     8.3490         |    |                  |80021 GSC  | NL80
010491 |V0491 And  |003019.9+411040 |BY        | 10.5    |  10.9      |* |            |     |    36.50           |    |                  |80043 80043| NL80
010493 |V0493 And  |003408.5+252350 |RS        | 10.64   |  10.78     |* |            |     |     3.1555         |    |K5                |80021 GSC  | NL80
010494 |V0494 And  |003633.2+430554 |RS        | 11.1    |  11.55     |* |            |     |    24.41           |    |                  |80049 80049| NL80
010495 |V0495 And  |003711.9+441259 |RS        | 10.43   |  10.60     |* |            |     |    16.71           |    |                  |80049 80049| NL80
010498 |V0498 And *|004020.9+434325 |RS        |  9.13   |   9.25     |* |            |     |    10.78           |    |K0                |80049 80049| NL80
010507 |V0507 And  |004705.4+301824 |RS        | 11.0    |  11.2      |* |            |     |    12.464          |    |G0                |80060 80060| NL80
010520 |V0520 And  |005904.5+455222 |SR        | 10.95   |  11.4      |* |            |     |    70.             |    |                  |80070 80070| NL80
010521 |V0521 And *|010126.5+380313 |DSCTC     | 11.29   |(  0.04    )|V |            |     |     0.10096        |    |F0-F2             |80072 80072| NL80
010525 |V0525 And  |011648.1+341810 |EA/RS     | 11.2    |  11.55     |* |51480.560   |     |     1.4290         |10  |                  |80063 80063| NL80
010527 |V0527 And  |012235.7+341936 |EW        | 10.65   |  11.05     |* |51478.856   |     |     0.70065        |    |                  |80052 80052| NL80
010531 |V0531 And  |013015.9+333919 |EW        | 11.40   |  11.60     |* |51484.437   |     |     0.40633        |    |                  |80033 80033| NL80
010535 |V0535 And  |013147.2+384803 |RS        | 11.12   |  11.24     |* |            |     |     8.7733         |    |                  |80021 GSC  | NL80
010537 |V0537 And  |013519.3+374638 |EA        | 11.4    |  11.75     |* |51476.783   |     |     0.90075        |11  |                  |80063 80063| NL80
010540 |V0540 And  |013727.1+390008 |RS        | 10.43   |  10.56     |* |            |     |     1.0616         |    |                  |80021 DM   | NL80
010542 |V0542 And  |014028.8+421201 |RS        | 10.28   |  10.41     |* |            |     |     1.0605         |    |K0V               |80021 DM   | NL80
010543 |V0543 And  |014225.3+375525 |EA        | 11.0    |  11.8      |* |51475.665   |     |     0.9264         |16  |                  |80063 80063| NL80
010545 |V0545 And  |014730.0+480648 |LB        | 10.7    |  11.1      |* |            |     |                    |    |                  |80100 GSC  | NL80
010546 |V0546 And  |015112.6+434908 |EW        | 11.23   |  11.76     |* |51475.6132  |     |     0.38303        |    |                  |80001 GSC  | NL80
010547 |V0547 And  |015203.0+374809 |EA/RS     | 11.38   |  11.76     |* |51574.628   |     |     1.9530         |10  |                  |80021 GSC  | NL80
010551 |V0551 And  |015621.3+403517 |SR        | 11.35   |  11.65     |* |            |     |    50.5            |    |                  |80070 80070| NL80
010566 |V0566 And  |020720.0+353855 |EW        | 10.85   |  11.30     |* |51478.78    |     |     0.38970        |    |                  |80101 80101| NL80
010570 |V0570 And  |021545.9+401421 |LB        |  9.86   |  10.15     |* |            |     |                    |    |                  |80070 80070| NL80
010574 |V0574 And  |022722.4+391129 |LB        | 10.0    |  10.3      |* |            |     |                    |    |                  |80100 GSC  | NL80
020003 |T     Ant *|093350.9-363657 |DCEP      |  8.88   |   9.82     |V |36120.608   |     |     5.898053       |22   |F6Iab            |N0027 CoD  |
020004 |U     Ant  |103512.9-393345 |LB        |  8.8    |   9.7      |p |            |     |                    |     |C5,3(Nb)         |06258 CoD  |
020005 |V     Ant *|102109.1-344719 |M         |  8.2    |  14.0      |V |52772.      |     |   303.             |     |M7IIIe           |01113 06286|
020006 |W     Ant  |095108.6-295345 |SRB       |  9.8    |  10.6      |V |            |     |   122.             |     |M3e-M6e          |N0002 06286|
020007 |X     Ant  |100642.2-300438 |M         |  8.8    |  14.0      |V |53458.      |     |   164.1            |     |M2-M6e           |N0002 02452|
020008 |Y     Ant *|100832.7-351028 |EA        | 10.04   |  10.91     |V |51930.737   |     |     6.1039         |08   |F2III/IV         |N0009 CoD  |
020009 |Z     Ant  |104558.9-351504 |LB        |  8.5    |  10.5      |V |            |     |                    |     |S5,4             |00001 CoD  |
020011 |RS    Ant  |102002.9-394508 |M         | 11.4    |< 15.0      |V |52105.      |     |   324.             |     |Me               |00001 06286|
020016 |RX    Ant  |093754.9-274350 |M         | 10.6    |  14.5      |V |52643.      |     |   234.             |60   |Me               |00001 06286|
020017 |RY    Ant  |093806.5-274330 |SRB       | 10.1    |  11.1      |V |            |     |    72.             |     |                 |00001 06286|
020025 |SY    Ant  |093101.1-291257 |LB        |  9.9    |  10.5      |V |            |     |                    |     |                 |01353 06286|
020032 |TY    Ant  |094620.1-292415 |SRB       | 11.3    |  12.0      |V |            |     |   103.             |     |                 |00001 06286|
020033 |TZ    Ant  |094644.0-291842 |SRA       | 10.9    |  11.7      |V |53431.      |     |    99.             |     |                 |00001 06286|
020038 |UY    Ant  |105908.6-355720 |M         | 10.4    |< 14.5      |V |53432.      |     |   297.             |     |                 |00001 06286|
020041 |VW    Ant  |092905.2-393338 |EB        | 11.2    |  12.8      |V |51967.6270  |     |     1.08401        |     |                 |N0002 03125|
020044 |VZ    Ant  |102523.8-354003 |M         | 11.1    |< 14.4      |V |53453.      |     |   424.             |     |Me               |00001 02385|
020045 |WW    Ant  |102613.6-383037 |M         | 10.4    |< 14.5      |V |53422.      |     |   264.             |     |Me               |N0002 02382|
020046 |WX    Ant *|103105.3-355827 |EA        | 11.25   |  12.95     |V |51964.6801  |     |     3.8171         |16   |                 |00001 06286|
020047 |WY    Ant *|101604.9-294342 |RRAB      | 10.27   |  11.22     |V |48500.5339  |     |     0.574341       |15   |A5-F4            |HIP   06286|
020049 |XX    Ant *|094924.7-382057 |EA        |  8.60   |   9.23     |V |53413.7871  |     |     0.888014       |20   |A8/F0V           |N0009 CoD  |
