#
#   VizieR Astronomical Server vizier.ast.cam.ac.uk	2012-01-25T18:18:02 [V1.80]
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VIZ4f2046835ed	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_7189
#Name: VII/189
#Title: Catalog of Pulsars (Taylor+ 1995)
#Table	VII_189_table1:
#Name: VII/189/table1
#Title: Observed and Derived parameters (tables 1, 2 and 4 of the publication)
#Column	_RAJ2000	(A11)	Right ascension (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(A11)	Declination (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	Jname	(a12)	J2000 pulsar name	[ucd=meta.id;meta.main]
#Column	dist	(F8.2)	Adopted distance of pulsar in kpc	[ucd=pos.distance]
#Column	P	(F19.16)	Barycentric period in seconds	[ucd=time.period]
#Column	ntype	(I6)	Octal code for pulsar type	[ucd=src.class]
#Column	We	(F10.2)	Equivalent width of the integrated pulse profile in ms	[ucd=src.var.pulse]
#Column	w50	(F10.2)	Profile width at 50% of peak in ms	[ucd=src.var.pulse]
#Column	s400	(F8.2)	Time averaged flux density at 400MHz in mJy	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	s600	(F8.2)	Time averaged flux density at 600MHz in mJy	[ucd=phot.flux.density;em.radio.400-750MHz]
#Column	s1400	(F8.2)	Time averaged flux density at 1400MHz in mJy	[ucd=phot.flux.density;em.radio.750-1500MHz]
_RAJ2000;_DEJ2000;Jname;dist;P;ntype;We;w50;s400;s600;s1400
00 24 05.91;-72 04 22.9;0024-7204N  ;    4.50; 0.0030539540000000;    61;      0.00;      0.00;    0.00;    0.00;    0.00
00 34 21.83;-05 34 36.6;0034-0534   ;    0.98; 0.0018771818540200;    70;      0.00;      0.80;   16.00;    0.00;    0.00
00 34 08.88;-07 21 53.4;0034-0721   ;    0.68; 0.9429507848599999;     0;     42.00;     56.70;   52.00;   51.00;   11.00
00 40 32.37;+57 16 24.6;0040+5716   ;    4.32; 1.1182244607100000;     0;      0.00;     12.20;    7.50;    2.90;    0.60
00 45 35.09;-73 19 03.1;0045-7319   ;   57.00; 0.9262758353560000;   410;      0.00;      0.00;    1.00;    0.00;    0.00
00 48 34.00;+34 12 07.9;0048+3412   ;    3.68; 1.2170935289000000;     0;      0.00;     21.70;    2.30;    0.70;    0.00
00 51 00.00;+04 16 00.0;0051+04     ;    0.75; 0.3547317800000000;     0;      0.00;      0.00;    0.00;    0.00;    0.00
00 55 45.39;+51 17 24.8;0055+5117   ;    2.35; 2.1151682248000001;     0;      0.00;     73.00;    3.40;    2.80;    1.50
00 56 24.65;+47 56 15.1;0056+4756   ;    1.00; 0.4720356206500000;     0;      0.00;     11.80;    3.00;    1.50;    0.00
01 02 32.91;+65 37 13.3;0102+6537   ;    2.45; 1.6791635644800000;     0;     48.00;     89.70;    8.50;    3.40;    1.20
01 08 21.96;+66 08 32.2;0108+6608   ;    1.63; 1.2836529262200000;     0;     20.00;     22.50;   10.00;    4.10;    0.90
01 08 29.52;+69 05 52.3;0108+6905   ;    2.53; 1.0711180942200000;     0;      0.00;      0.00;    3.70;    1.60;    0.40
01 08 08.20;-14 31 46.0;0108-1431   ;    0.10; 0.8075646012500000;     0;      0.00;      0.00;    0.00;    0.00;    0.00
01 17 38.70;+59 14 37.9;0117+5914   ;    2.14; 0.1014383748286000;     0;      0.00;      4.10;    7.60;    2.60;    0.30
01 32 18.00;-70 10 00.0;0132-7010   ;    2.35; 0.4634750000000000;     0;      0.00;     11.00;    4.40;    0.00;    0.00
01 34 19.00;-29 37 00.0;0134-2937   ;    1.78; 0.1369620000000000;     0;      0.00;      6.60;    9.00;    0.00;    2.40
01 39 19.76;+58 14 31.7;0139+5814   ;    2.89; 0.2724497915740000;     0;      7.50;      5.20;   28.00;   15.40;    4.60
01 41 39.95;+60 09 32.3;0141+6009   ;    1.90; 1.2229482672300001;     0;     38.00;     34.90;   49.00;   23.00;    4.50
01 47 44.67;+59 22 03.2;0147+5922   ;    1.91; 0.1963212513227000;     0;      0.00;      7.00;    6.60;    3.40;    2.10
01 51 22.76;-06 35 03.5;0151-0635   ;    1.93; 1.4646644516500000;     0;     60.00;     56.90;   38.00;   10.00;    1.30
01 52 10.86;-16 37 55.0;0152-1637   ;    0.79; 0.8327414525470000;     0;     14.00;     17.80;   20.00;   15.00;    1.50
01 56 54.83;+39 49 29.7;0156+3949   ;    4.85; 1.8115605630000000;     0;      0.00;      0.00;    4.00;    1.00;    0.00
01 57 50.00;+62 12 27.1;0157+6212   ;    1.59; 2.3517238322199998;     0;     30.00;     33.40;    6.50;    4.30;    1.90
02 06 01.26;-40 28 03.4;0206-4028   ;    0.88; 0.6305501408470000;     0;     11.00;      8.00;   11.00;    6.00;    1.00
02 18 06.35;+42 32 17.5;0218+4232   ;    5.85; 0.0023230904564000;    70;      0.00;      0.00;    0.00;    0.00;    0.00
02 31 14.01;+70 26 33.6;0231+7026   ;    2.26; 1.4668193434000001;     0;      0.00;     34.00;    2.40;    1.00;    0.30
02 55 56.22;-53 04 20.5;0255-5304   ;    1.15; 0.4477084440580000;     0;      8.00;      9.00;   17.00;    0.00;    3.00
03 04 33.12;+19 32 50.1;0304+1932   ;    0.94; 1.3875843448139999;     0;     42.00;     58.40;   27.00;   17.00;    3.00
03 23 26.62;+39 44 52.7;0323+3944   ;    1.47; 3.0320719063300001;     0;     42.00;     42.70;   34.00;    9.00;    0.90
03 32 59.41;+54 34 42.8;0332+5434   ;    1.43; 0.7145186639800000;     0;      8.70;      6.60; 1500.00; 1300.00;  203.00
03 35 16.63;+45 55 53.0;0335+4555   ;    2.08; 0.2692005399801000;     0;      0.00;      6.10;    6.00;    4.80;    0.80
03 43 12.94;+53 12 52.0;0343+5312   ;    2.58; 1.9344746763000000;     0;      0.00;     44.90;    3.70;    1.10;    0.30
03 57 44.81;+52 36 57.7;0357+5236   ;    4.72; 0.1970300350276000;     0;      0.00;     12.50;   12.00;    7.50;    1.90
03 58 53.71;+54 13 13.7;0358+5413   ;    2.07; 0.1563819489689000;     4;      6.30;      3.90;   46.00;   37.00;   23.00
04 01 51.68;-76 08 13.8;0401-7608   ;    1.52; 0.5452527423520001;     0;     22.00;     18.00;   19.00;    4.00;   14.00
04 06 30.05;+61 38 40.8;0406+6138   ;    3.04; 0.5945735795800000;     0;     20.00;     18.40;   15.00;    9.50;    2.80
04 15 55.59;+69 54 09.7;0415+6954   ;    1.56; 0.3907150650140000;     0;      0.00;      4.40;    6.40;    2.10;    0.50
04 17 43.00;+35 44 00.0;0417+35     ;    2.60; 0.6539980000000000;     0;      0.00;      0.00;    0.00;    0.00;    0.00
04 21 57.00;-03 45 00.0;0421-0345   ;    3.09; 1.0806300000000000;     0;      0.00;     27.00;    4.00;    0.00;    0.50
04 35 34.00;+27 44 00.0;0435+27     ;    3.43; 0.3262793000000000;     0;      0.00;      0.00;    0.00;    0.00;    0.00
04 37 17.29;-47 15 18.2;0437-4715   ;    0.14; 0.0057574518193560;    70;      0.00;      1.11;  600.00;    0.00;   90.00
04 48 43.00;-27 57 00.0;0448-2757   ;    1.55; 0.4504360000000000;     0;      0.00;     13.00;    2.70;    0.00;    1.20
04 50 08.78;-12 48 07.0;0450-1248   ;    3.27; 0.4380141268940000;     0;     18.00;     19.00;   11.00;    6.20;    0.90
04 52 34.12;-17 59 23.1;0452-1759   ;    3.14; 0.5489379860230000;     0;     26.00;     28.70;   82.00;   65.00;    5.30
04 54 07.71;+55 43 41.0;0454+5543   ;    0.79; 0.3407291301490000;     0;     13.00;      8.10;   59.00;   28.00;   13.00
04 55 58.92;-69 47 24.4;0455-6947   ;   49.40; 0.3204213000000000;   400;      0.00;      0.00;    0.60;    0.00;    0.00
04 59 30.00;-02 10 00.0;0459-0210   ;    0.79; 1.1331000000000000;     0;      0.00;     25.00;   11.00;    0.00;    0.50
05 02 04.56;+46 54 06.2;0502+4654   ;    1.78; 0.6385653204070000;     2;     19.00;     22.70;   10.80;    8.80;    2.50
05 02 35.17;-66 25 51.4;0502-6625   ;   49.40; 0.6912483600000000;   400;      0.00;      0.00;    1.00;    0.00;    0.00
05 25 56.46;+11 15 19.0;0525+1115   ;    7.68; 0.3544375952751000;     0;     12.00;     15.90;   19.50;    9.20;    1.60
05 28 52.30;+22 00 00.4;0528+2200   ;    2.27; 3.7455213403299998;     4;     75.00;    185.50;   57.00;   32.00;    9.00
05 29 28.29;-66 54 47.0;0529-6655   ;   49.40; 0.9757226900000000;   400;      0.00;     24.00;    0.00;    3.00;    0.00
05 33 25.80;+04 02 00.0;0533+04     ;    6.66; 0.9630176970000000;     0;      0.00;      0.00;    0.00;    0.00;    0.00
05 34 31.95;+22 00 52.2;0534+2200   ;    2.00; 0.0334033474094000;   306;      1.20;      3.00;  646.00;  211.00;   14.00
05 36 30.79;-75 43 56.7;0536-7543   ;    1.10; 1.2458555962900000;     0;     68.00;     75.00;   75.00;   70.00;   13.00
05 38 25.06;+28 17 11.0;0538+2817   ;    1.77; 0.1431577387600000;     0;      0.00;      0.00;    0.00;    0.00;    0.00
05 40 11.05;-69 19 55.2;0540-6919   ;   49.40; 0.0503771068690000;   602;      0.00;     18.00;    0.00;    0.40;    0.00
05 43 09.66;+23 29 06.3;0543+2329   ;    3.54; 0.2459740892957000;     0;      7.90;      6.20;   29.00;   26.00;    9.00
06 00 46.46;-57 56 53.7;0600-5756   ;    2.55; 2.2613645130000002;     0;     60.00;     60.00;    2.10;    0.00;    0.00
06 01 58.99;-05 27 50.7;0601-0527   ;    7.54; 0.3959690573556000;     0;     13.00;     11.60;   22.70;   10.80;    2.50
06 12 48.65;+37 21 37.0;0612+3721   ;    1.47; 0.2979823083200000;     0;      0.00;      5.30;   16.00;    8.00;    4.00
06 13 43.97;-02 00 47.0;0613-0200   ;    2.19; 0.0030618440358130;    70;      0.00;      0.80;   21.00;    0.00;    2.50
06 14 17.06;+22 29 57.8;0614+2229   ;    4.72; 0.3349250540100000;     0;      7.50;      6.90;   29.00;   12.80;    2.20
06 24 20.03;-04 24 51.6;0624-0424   ;    4.39; 1.0390760458999999;     0;     38.00;     52.00;    4.90;    4.40;    2.00
06 25 45.00;+10 16 00.0;0625+10     ;    3.36; 0.4983970000000000;     0;      0.00;      0.00;    0.00;    0.00;    0.00
06 29 05.71;+24 15 41.7;0629+2415   ;    4.67; 0.4766226539380000;     0;     12.00;      8.80;   31.00;   13.80;    3.20
06 30 49.52;-28 34 44.1;0630-2834   ;    2.14; 1.2444170725999999;     0;     73.00;     58.20;  206.00;  106.00;   23.00
06 31 27.58;+10 36 58.0;0631+1036   ;    6.56; 0.2877497480000000;     0;      0.00;      0.00;    1.50;    0.00;    0.80
06 33 54.02;+17 46 11.5;0633+1746   ;    0.00; 0.2370932300140000;   200;      0.00;      0.00;    0.00;    0.00;    0.00
06 53 14.98;+80 51 59.9;0653+8051   ;    3.02; 1.2144396573900000;     0;     24.00;     13.90;    6.50;    3.30;    0.40
06 59 48.17;+14 14 21.2;0659+1414   ;    0.76; 0.3848850259500000;   200;     13.00;     18.40;    6.50;    3.80;    3.70
07 00 37.81;+64 18 11.1;0700+6418   ;    0.48; 0.1956709450041000;    10;     10.00;      6.00;    5.00;    2.10;    0.30
07 11 02.00;-68 30 00.0;0711-6830   ;    1.03; 0.0054909700000000;    60;      0.00;      1.30;    7.00;    0.00;    0.80
07 25 07.00;-16 37 00.0;0725-1637   ;    4.62; 0.2121560000000000;     0;      0.00;      9.40;    4.00;    0.00;    0.60
07 29 32.37;-18 36 42.3;0729-1836   ;    3.25; 0.5101581529400000;     0;     13.00;     20.20;   11.20;    7.10;    1.30
07 38 32.29;-40 42 39.9;0738-4042   ;   11.03; 0.3749187109800000;     0;     27.50;     29.00;  190.00;    0.00;   80.00
07 42 49.04;-28 22 44.0;0742-2822   ;    1.89; 0.1667609197920000;     0;      5.00;      5.70;  296.00;  130.00;   23.00
07 45 02.31;-53 51 22.0;0745-5351   ;    7.14; 0.2148363514000000;     0;     34.00;     13.00;   23.00;   14.00;    0.00
07 49 27.00;-42 47 00.0;0749-4247   ;    2.33; 0.5477180000000000;     0;      0.00;     25.00;    8.00;    0.00;    0.60
07 51 09.16;+18 07 38.7;0751+1807   ;    2.02; 0.0034787707815100;    70;      0.00;      0.00;   10.00;    0.00;    1.00
07 54 40.73;+32 31 56.5;0754+3231   ;    3.92; 1.4423494472400000;     0;     22.00;     12.20;    8.00;    3.10;    0.60
07 58 29.06;-15 28 09.0;0758-1528   ;    3.74; 0.6822643364099999;     0;     11.00;      7.60;    8.20;    3.70;    2.00
08 09 43.89;-47 53 55.1;0809-4753   ;   12.72; 0.5471992355020000;     0;     48.00;     15.00;   46.00;   14.00;    3.00
08 14 59.48;+74 29 05.4;0814+7429   ;    0.31; 1.2922414355309999;     0;     45.00;     41.40;   79.00;   51.00;   10.00
08 20 26.37;-13 50 55.6;0820-1350   ;    2.46; 1.2381281072300001;     0;     24.00;     22.10;  102.00;   45.00;    7.00
08 20 15.45;-41 14 36.4;0820-4114   ;    2.38; 0.5454455361100000;     0;    100.00;    140.00;   65.00;   20.00;    9.00
08 23 09.77;+01 59 12.8;0823+0159   ;    1.43; 0.8648727518800000;    10;     25.00;     21.20;   30.00;   12.00;    1.50
08 26 51.45;+26 37 22.8;0826+2637   ;    0.38; 0.5306607975800000;   100;      9.10;      5.80;   73.00;   62.00;   10.00
08 28 16.52;-34 17 08.6;0828-3417   ;    0.52; 1.8489183990000000;   100;    520.00;    740.00;   16.00;    0.00;    0.00
08 35 20.57;-45 10 35.0;0835-4510   ;    0.50; 0.0893085566290000;   206;      2.60;      2.10; 5000.00;    0.00; 1100.00
08 37 05.65;+06 10 14.8;0837+0610   ;    0.72; 1.2737680806720000;     0;     17.00;     23.90;   89.00;   32.00;    4.00
08 37 21.17;-41 35 14.3;0837-4135   ;    4.24; 0.7516221177810000;     0;      8.80;      8.40;  197.00;    0.00;   25.00
08 40 33.88;-53 32 35.6;0840-5332   ;    7.78; 0.7206117681000000;     0;     41.00;     23.00;   19.00;    9.00;    2.00
08 42 05.37;-48 51 20.8;0842-4851   ;    8.70; 0.6443540558000000;     0;     15.00;     14.00;    6.20;    0.00;    0.00
08 46 05.86;-35 33 39.9;0846-3533   ;    1.31; 1.1160964496000001;     0;     24.00;     25.00;   16.00;    0.00;    4.00
08 49 00.90;+80 28 58.0;0849+8028   ;    3.38; 1.6022278243000001;     0;      0.00;      0.00;    1.50;    0.00;    0.00
08 55 39.86;-33 31 29.9;0855-3331   ;    1.27; 1.2675326700000000;     0;     20.00;     22.80;    7.70;    4.60;    0.60
08 56 59.31;-61 37 53.3;0856-6137   ;    6.52; 0.9625085573000000;     0;     25.00;     23.00;   11.00;    0.00;    0.00
08 58 06.00;-44 19 00.0;0858-4419   ;    6.56; 0.3267710000000000;     0;      0.00;     15.00;   14.00;    0.00;    1.30
09 02 32.39;-63 25 12.0;0902-6325   ;    4.44; 0.6603133715000000;     0;     20.00;     18.00;    4.50;    0.00;    0.00
09 04 59.19;-42 46 14.1;0904-4246   ;    4.40; 0.9651709987000000;     0;     28.00;     26.00;    8.00;    4.00;    0.00
09 04 46.00;-45 46 00.0;0904-4546   ;    6.91; 0.9882900000000000;     0;      0.00;     51.00;   13.00;    0.00;    0.40
09 04 10.84;-74 59 42.8;0904-7459   ;    4.41; 0.5495531190900000;     0;     26.00;     20.00;   11.00;   11.00;   14.00
09 05 38.00;-51 27 00.0;0905-5127   ;    8.35; 0.3462870000000000;     0;      0.00;     10.00;   12.00;    0.00;    1.70
09 07 15.90;-51 57 59.3;0907-5157   ;    2.65; 0.2535560150110000;     0;     23.00;     17.00;   35.00;   35.00;    9.00
09 08 38.19;-17 39 38.1;0908-1739   ;    0.63; 0.4016256029613000;     0;     10.00;      9.50;   16.00;   11.00;    3.20
09 08 35.53;-49 13 06.5;0908-4913   ;    6.57; 0.1067545925000000;   100;      0.00;      8.00;    0.00;   35.00;   16.00
09 09 36.00;-72 12 08.4;0909-7212   ;    3.99; 1.3628899541999999;     0;     27.00;     17.00;    6.50;    4.00;    0.00
09 21 14.06;+62 54 14.1;0921+6254   ;    0.76; 1.5679929034200000;     0;      0.00;     38.00;    5.00;    2.80;    0.50
09 22 13.99;+06 38 22.6;0922+0638   ;    2.97; 0.4306196725800000;     0;     12.00;     10.50;   52.00;   27.00;    4.20
09 24 08.68;-53 02 44.2;0924-5302   ;    5.61; 0.7462952095399999;     0;     17.00;     15.00;   12.00;    0.00;    1.00
09 24 30.97;-58 14 06.5;0924-5814   ;    2.01; 0.7394995609000000;     0;     50.00;     42.00;   22.00;    0.00;    0.00
09 27 37.00;+23 47 00.0;0927+23     ;    2.52; 0.7618860000000000;     0;      0.00;      0.00;    0.00;    0.00;    0.00
09 34 28.31;-52 49 27.1;0934-5249   ;    2.90; 1.4447714964000000;     0;     28.00;     28.00;   18.00;    0.00;    2.00
09 41 52.00;-52 48 00.0;0941-5248   ;    5.63; 0.6585500000000000;     0;      0.00;     22.00;   11.00;    0.00;    0.70
09 42 15.72;-55 52 55.2;0942-5552   ;    6.35; 0.6643611244600000;     0;     15.00;     15.00;   55.00;    0.00;    6.00
09 42 54.46;-56 57 43.4;0942-5657   ;    5.07; 0.8081274171420000;     0;     15.00;      7.00;   13.00;    0.00;    1.60
09 43 30.06;+16 31 35.6;0943+1631   ;    1.68; 1.0874177251699999;     0;     65.00;     70.10;    7.00;    5.00;    1.40
09 43 25.00;+22 56 00.0;0943+22     ;    2.39; 0.5329130000000000;     0;      0.00;     20.00;    5.50;    0.00;    0.00
09 44 28.94;-13 54 41.9;0944-1354   ;    0.70; 0.5702641032300000;     0;      7.00;      6.90;   26.00;    7.00;    0.60
09 46 06.94;+09 51 54.3;0946+0951   ;    0.98; 1.0977036395199999;     0;     38.00;     40.80;    4.00;    0.60;    0.00
09 47 22.00;+27 42 00.0;0947+27     ;    2.33; 0.8510500000000000;     0;      0.00;      0.00;    0.00;    0.00;    0.00
09 52 17.22;-38 39 10.2;0952-3839   ;    8.44; 1.3738151214000001;     0;     40.00;     36.00;    8.50;    0.00;    0.00
09 53 09.33;+07 55 36.1;0953+0755   ;    0.12; 0.2530650681900000;   100;     12.50;      9.50;  400.00;  403.00;   84.00
09 55 29.50;-53 04 16.7;0955-5304   ;    4.86; 0.8621177393300000;     0;     15.00;     11.00;   29.00;    0.00;    1.60
09 59 26.26;-48 09 47.5;0959-4809   ;    2.96; 0.6700857604000000;     0;     42.00;     98.00;   16.00;    0.00;    0.00
10 01 37.95;-55 07 08.6;1001-5507   ;    3.59; 1.4365826291999999;     0;     20.00;     16.00;   80.00;    0.00;    8.00
10 03 21.58;-47 47 02.0;1003-4747   ;    3.44; 0.3070716997500000;     0;     12.00;     11.00;    6.00;    0.00;    0.00
10 07 30.00;-63 16 00.0;1007-6316   ;    9.66; 0.8357990000000000;     0;      0.00;     21.00;    3.20;    0.00;    0.00
10 12 33.43;+53 07 02.7;1012+5307   ;    0.52; 0.0052557490119800;    70;      0.00;      0.00;   30.00;    0.00;    2.80
10 12 30.50;-23 37 53.6;1012-2337   ;    1.64; 2.5179445800000000;     0;     38.00;     41.60;    4.10;    1.30;    0.00
10 12 48.49;-58 57 40.0;1012-5857   ;   10.15; 0.8199114962000000;     0;     22.00;     18.00;    0.00;    7.00;    1.60
10 16 31.25;-53 45 13.8;1016-5345   ;    2.50; 0.7695835272000000;     0;     16.00;     15.00;    3.50;    0.00;    1.00
10 17 12.86;-56 21 30.7;1017-5621   ;   11.77; 0.5034588154600000;     0;     24.00;     22.00;   15.00;    0.00;    2.00
10 18 40.38;-16 42 10.1;1018-1642   ;    3.27; 1.8046944181000000;     0;      0.00;     30.60;    5.10;    2.60;    0.60
10 22 57.00;+10 01 00.0;1022+10     ;    0.60; 0.0164529296807000;    70;      0.00;      0.00;   23.00;    0.00;    2.30
10 25 30.00;-07 09 00.0;1025-0709   ;    0.35; 0.0051622100000000;    60;      0.00;      1.40;   10.00;    0.00;    0.00
10 32 06.67;-59 10 27.8;1032-5910   ;    7.31; 0.4642080100000000;     0;     60.00;     58.00;   14.00;    0.00;    0.70
10 34 08.00;-32 24 00.0;1034-3224   ;    4.68; 1.1505700000000001;     0;      0.00;     29.00;   41.00;    0.00;    4.70
10 36 19.00;-49 26 00.0;1036-4926   ;    8.39; 0.5103670000000000;     0;      0.00;     16.00;    9.00;    0.00;    0.00
10 38 19.70;-58 31 27.2;1038-5831   ;    2.43; 0.6619920940320000;     0;     22.00;     17.00;    0.00;    3.50;    1.30
10 41 36.21;-19 42 13.8;1041-1942   ;    3.18; 1.3863680456300000;     0;     42.00;     61.80;   28.00;   13.00;    4.00
10 42 00.61;-55 21 05.5;1042-5521   ;    6.95; 1.1708590770000000;     0;     32.00;     32.00;   14.00;    0.00;    0.00
10 45 51.00;-30 33 00.0;1045-3033   ;    4.17; 0.3303270000000000;     0;      0.00;     16.00;   13.00;    0.00;    0.00
10 45 50.20;-45 09 54.2;1045-4509   ;    3.24; 0.0074742241038600;    70;      0.00;      1.20;   20.00;    0.00;    3.00
10 46 18.87;-58 13 51.8;1046-5813   ;    4.80; 0.3694266962000000;     0;     20.00;     17.00;   18.00;    0.00;    1.00
10 47 10.00;-67 11 00.0;1047-6711   ;    4.68; 0.1984510000000000;     0;      0.00;      9.20;    7.20;    0.00;    4.00
10 48 13.05;-58 32 12.7;1048-5832   ;    2.98; 0.1236526072700000;     0;      7.00;      7.00;    0.00;   14.80;    8.00
10 56 25.55;-62 58 47.6;1056-6258   ;   14.90; 0.4224471886840000;     0;     38.00;     20.00;   45.00;   75.00;   24.00
10 57 58.84;-52 26 56.3;1057-5226   ;    1.53; 0.1971076081870000;   300;     19.00;     14.00;   80.00;    0.00;    0.00
10 57 27.38;-79 14 24.2;1057-7914   ;    3.46; 1.3474021612000000;     0;     28.00;     22.00;    6.50;    4.00;    0.00
10 59 00.90;-57 42 14.2;1059-5742   ;    2.74; 1.1849974029100001;     0;     21.00;     16.00;   19.00;   12.00;    2.00
11 07 58.67;-59 47 04.4;1107-5947   ;    3.54; 1.5165309654000001;     0;     45.00;     45.00;    7.00;    0.00;    0.80
11 10 00.40;-56 37 32.9;1110-5637   ;    9.19; 0.5582527264010000;     0;     22.00;     21.00;    0.00;    9.20;    2.90
11 12 38.53;-66 13 04.8;1112-6613   ;   19.29; 0.3342128397800000;     0;     21.00;     14.00;   19.00;   11.00;    0.00
11 12 50.97;-69 26 31.0;1112-6926   ;   12.32; 0.8204842041100000;     0;     22.00;     20.00;   13.00;    0.00;    0.00
11 14 22.52;-61 00 34.2;1114-6100   ;   30.00; 0.8808196254900000;     0;     38.00;     31.00;    0.00;    4.50;    5.00
11 15 38.39;+50 30 12.6;1115+5030   ;    0.54; 1.6564380803300001;     0;     27.00;     16.60;   12.00;    3.80;    3.00
11 16 43.09;-41 22 44.6;1116-4122   ;    2.68; 0.9431578828430000;     0;     16.00;     14.00;   26.00;   14.00;    3.00
11 19 40.79;-79 36 30.3;1119-7936   ;    1.52; 2.2805971963000000;     0;     32.00;     46.00;    7.00;    0.00;    0.00
11 21 19.19;-54 44 05.5;1121-5444   ;   15.50; 0.5357831311500000;     0;     19.00;     15.00;   24.00;    0.00;    0.00
11 23 57.00;-62 56 00.0;1123-6256   ;    7.48; 0.2714330000000000;     0;      0.00;      8.20;   13.00;    0.00;    0.00
11 24 22.00;-66 52 00.0;1124-6652   ;    3.45; 0.2329770000000000;     0;      0.00;     15.00;   14.00;    0.00;    0.50
11 26 52.61;-60 54 40.0;1126-6054   ;    8.05; 0.2027369118530000;     0;     11.00;      6.00;    0.00;    4.00;    1.20
