Configuration Matrix Start Identifier	CCD	Camera ID	Camera Line	Camera Model (U or E Prefix)	Interline CCD?	Supports Serial Port A? (Driver INFO)	Supports Serial Port B? (Driver INFO)	CCD Sensor Type? - (TRUE=CCD or FALSE=CMOS)	Total Columns	Imaging Columns	Clamp Columns (R13)	Pre ROI Skip Columns	Post ROI Skip Columns (R16)	Overscan Columns (R17)	Total Rows	Imaging Rows	Default Vertical Offset (Underscan) (R30)	Vertical Overscan Rows	Default Vflush binning	Enable Single Row ROI Offset?	Row Offset Binning	Hflush Disable? (R2.6)	"Default Shutter Close Delay, ms (R20)"	"Pixel Size (x), u - INFO"	"Pixel Size (y), u - INFO"	Color? - INFO	Gain (16) - INFO	"Minimum Suggested Exp Time, ms (Driver INFO)"	Camera Supports Cooling? (Driver INFO)	Camera Supports Regulated Cooling? (Driver INFO)	Default Desired Temperature - Degrees C (R55)	Temperature Ramp 1 Rate (R57)	Temperature Ramp 2 Rate (R58)	Default Backoff Temp Value - Degrees C (R60)	PRI A/D Type	ALT A/D Type	PRI A/D Latency	ALT A/D Latency	"IR Preflash Time, ms (R23 - share w/strobe pos)"	A/D Configuration Value (R62)	Default A/D Gain Value - LEFT (R62)	Default Clamp/Offset Value - LEFT (R62)	Default A/D Gain Value - RIGHT (R62)	Default Clamp/Offset Value - RIGHT (R62)	Default R Voltage (R27)	Default Data Reduction?	Video Subsample	amp_cutoff_disable	num Ad Outputs	Supports Single/Dual Readout Switching?	Vertical Pattern (.txt)	"Skip Pattern, 16 bit, gain 1 (.txt)"	"Clamp Pattern, 16 bit, gain 1 (.txt)"	"ROI Pattern, 16 bit, gain 1 (.txt)"	"Skip Pattern, 12 bit (.txt)"	"Clamp Pattern, 12 bit (.txt)"	"ROI Pattern, 12 bit (.txt)"	"Vertical Pattern, Video (.txt)"	"Skip Pattern, Video (.txt)"	"Clamp Pattern,  Video (.txt)"	"ROI Pattern, Video (.txt)"	"Skip Pattern Dual, normal (.txt)"	"Clamp Pattern Dual, normal (.txt)"	"ROI Pattern Dual, normal (.txt)"	"Skip Pattern Dual, fast (.txt)"	"Clamp Pattern Dual, fast (.txt)"	"ROI Pattern Dual, Fast (.txt)"
StartCcd	S101401109D9	27	Alta	1109D9	FALSE	TRUE	TRUE	TRUE	2068	2048	10	0	0	10	512	506	4	2	4	FALSE	2	FALSE	301	12	12	FALSE	1	30	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	100	100	0	0	1000	FALSE	1	0	1	FALSE	HV1	H16HSi	H16HSi	H16HRi	H12HSi	H12HCi	H12HRi	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	CCD4240	28	Alta	42F-D9	FALSE	TRUE	TRUE	TRUE	2148	2048	50	0	0	50	2052	2048	2	2	1	FALSE	1	FALSE	450	13.5	13.5	FALSE	2	30	TRUE	TRUE	-20	700	4000	2	1	2	1	1	35	8	400	200	0	0	1000	FALSE	1	0	1	FALSE	MV2C	M16HS1C	M16HS1C	M16HR3C	M16HS1F	M16HS1F	M16HR3F	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF1001Ens	30	Alta	6	FALSE	TRUE	TRUE	TRUE	1044	1024	8	0	0	12	1032	1024	4	4	8	FALSE	1	FALSE	0	24	24	FALSE	3	20	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	0	250	0	0	1000	FALSE	1	0	1	FALSE	KV1	K16HS1	K16HC1	K16HR1	K12HS4	K12HC4	K12HR4	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF10011105	31	Alta	6	FALSE	TRUE	TRUE	TRUE	1044	1024	8	0	0	12	1032	1024	4	4	8	FALSE	1	FALSE	100	24	24	FALSE	3	20	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	0	250	0	0	1000	FALSE	1	0	1	FALSE	KV5	K16HS3	K16HS3	K16HR3	K12HS3	K12HC3	K12HR3	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF0401EB	32	Alta	1	FALSE	TRUE	TRUE	TRUE	796	768	14	0	0	14	520	512	4	4	1	FALSE	1	FALSE	100	9	9	FALSE	1.5	10	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	0	100	0	0	1000	FALSE	1	0	1	FALSE	KV5	K16HS3	K16HS3	K16HR3	K12HS3	K12HC3	K12HR3	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF1602EB	33	Alta	2	FALSE	TRUE	TRUE	TRUE	1564	1536	14	0	0	14	1032	1024	4	4	1	FALSE	1	FALSE	100	9	9	FALSE	1.5	10	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	0	100	0	0	1000	FALSE	1	0	1	FALSE	KV5	K16HS3	K16HS3	K16HR3	K12HS3	K12HC3	K12HR3	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF0261EB	34	Alta	260	FALSE	TRUE	TRUE	TRUE	530	512	12	0	0	6	520	512	4	4	1	FALSE	1	FALSE	200	20	20	FALSE	3	10	TRUE	TRUE	-20	400	3500	2	1	2	1	12	160	8	0	250	0	0	1000	FALSE	1	0	1	FALSE	KV5	K16HS3	K16HS3	K16HR3	K12HS3	K12HC3	K12HR3	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF1301EB	35	Alta	13	FALSE	TRUE	TRUE	TRUE	1305	1280	4	0	0	21	1028	1024	2	2	1	FALSE	1	FALSE	300	16	16	FALSE	3	20	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	0	200	0	0	1000	FALSE	1	0	1	FALSE	KV5	K16HS3	K16HS3	K16HR3	K12HS3	K12HC3	K12HR3	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF1001EB	36	Alta	6	FALSE	TRUE	TRUE	TRUE	1044	1024	8	0	0	12	1032	1024	4	4	1	FALSE	1	FALSE	300	24	24	FALSE	3	20	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	0	250	0	0	1000	FALSE	1	0	1	FALSE	KV5	K16HS3	K16HS3	K16HR3	K12HS3	K12HC3	K12HR3	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF6303EB	37	Alta	9	FALSE	TRUE	TRUE	TRUE	3100	3073	15	0	0	12	2056	2048	4	4	1	FALSE	1	FALSE	300	9	9	FALSE	1.5	20	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	0	100	0	0	1000	FALSE	1	0	1	FALSE	KV5	K16HS3	K16HS3	K16HR3	K12HS3	K12HC3	K12HR3	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF16803	38	Alta	16M	FALSE	TRUE	TRUE	TRUE	4152	4096	36	0	0	20	4129	4096	21	11	1	FALSE	1	FALSE	300	9	9	FALSE	1.5	30	TRUE	TRUE	-20	1500	4000	2	1	2	1	12	160	8	100	255	0	0	1000	FALSE	1	0	1	FALSE	KV7	K16HS7	K16HS7	K16HR7	K12HS7	K12HC7	K12HR7	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF09000X	39	Alta	9000X	FALSE	TRUE	TRUE	TRUE	3103	3056	35	0	0	12	3086	3056	20	10	1	FALSE	1	FALSE	300	12	12	FALSE	1.5	30	TRUE	TRUE	-20	1500	4000	2	1	2	1	12	160	8	0	150	0	0	1000	FALSE	1	0	1	FALSE	KV7	K16HS8	K16HS8	K16HR8	K12HS7	K12HC7	K12HR7	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	S101401107	40	Alta	1107	FALSE	TRUE	TRUE	TRUE	2068	2048	10	0	0	10	128	122	4	2	4	FALSE	1	FALSE	50	12	12	FALSE	1	30	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	100	100	0	0	1000	FALSE	1	0	1	FALSE	HV1	H16HS	H16HS	H16HR	H12HS	H12HC	H12HR	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	S101401109	41	Alta	1109	FALSE	TRUE	TRUE	TRUE	2068	2048	10	0	0	10	512	506	4	2	4	FALSE	1	FALSE	50	12	12	FALSE	1	30	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	100	100	0	0	1000	FALSE	1	0	1	FALSE	HV1	H16HS	H16HS	H16HR	H12HS	H12HC	H12HR	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	F3041	42	Alta	3041	FALSE	TRUE	TRUE	TRUE	2080	2048	16	0	0	16	2112	2048	32	32	4	FALSE	1	FALSE	50	15	15	FALSE	1	30	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	100	100	0	0	1000	FALSE	1	0	1	FALSE	FV1	F16HS1	F16HS1	F16HR1	H12HS	H12HC	H12HR	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	CCD4710DD	43	Alta	47	FALSE	TRUE	TRUE	TRUE	1072	1024	24	0	0	24	1027	1024	3	0	1	FALSE	1	FALSE	300	13	13	FALSE	2	20	TRUE	TRUE	-20	700	4000	2	1	2	1	12	160	8	400	200	0	0	1000	FALSE	1	0	1	FALSE	MV1nimo	FM16HS1	FM16HS1	FM16HR3	FM12HS	FM12HC	FM12HR	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF8300	44	Alta	8300	FALSE	TRUE	TRUE	TRUE	3448	3326	43	0	0	79	2574	2504	46	24	1	FALSE	1	FALSE	300	5.4	5.4	FALSE	1.5	30	TRUE	TRUE	-20	1500	4000	2	1	2	1	12	160	8	0	150	0	0	1000	FALSE	1	0	1	FALSE	KV9	K16HS9	K16HS9	K16HR9	K12HS9	K12HC9	K12HR9	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF09000D9	45	Alta	9000D9	FALSE	TRUE	TRUE	TRUE	3103	3056	35	0	0	12	3086	3056	20	10	1	FALSE	1	FALSE	300	12	12	FALSE	1.5	30	TRUE	TRUE	-20	1500	4000	2	1	2	1	12	160	8	0	150	0	0	1000	FALSE	1	0	1	FALSE	KV7B	K16HS7	K16HS7	K16HR7	K12HS7	K12HC7	K12HR7	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
StartCcd	KAF16801ED9	46	Alta	16D9	FALSE	TRUE	TRUE	TRUE	4152	4096	36	0	0	20	4129	4096	21	11	1	FALSE	1	FALSE	300	9	9	FALSE	1.5	30	TRUE	TRUE	-20	1500	4000	2	1	2	1	12	160	8	100	255	0	0	1000	FALSE	1	0	1	FALSE	KV4B	K16HS2	K16HC2	K16HR2	K12HS2	K12HC2	K12HR2	NoOpV	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH	NoOpH
