# ISO 631 language codes
#
# This file contains a table of country codes and names of languages.  
# Columns are separated by a single tab.  Lines beginning with '#' are comments.
# All text uses UTF-8 encoding.  The columns of the table are as follows:
#
# 1.  ISO 631-1 (ISO 639-3): two-letter language codes (three-letter language 
#     codes for languages not in ISO 631-1 list)
# 2.  English name of language
# 3.  Self-name of language
#
aa	Afar	Qafár af 
ka	Georgian	ქართული
kab	Kabyle	Taqbaylit
kg	Kongo	Kikongo
ki	Kikuyu	Gĩgĩkũyũ
kj	Kwanyama	Kwanyama
kk	Kazakh	Қазақ тілі
kl	Kalaallisut	Kalaallisut
km	Khmer	ភាសាខ្មែរ 
kn	Kannada	ಕನ್ನಡ 
ko	Korean	한국어 (韓國語)
kr	Kanuri	Kanuri
krl	Karelian	karjalan kieli
ks	Kashmiri	कश्मीरी
ku	Kurdish	Kurdî
kv	Komi	Коми кыв
kw	Cornish	Kernewek
ky	Kirghiz	Кыргыз тили
la	Latin	latine
lb	Luxembourgish	Lëtzebuergesch
lg	Ganda	Luganda
li	Limburgish	Limburgs
ln	Lingala	Lingála
lo	Lao	ພາສາລາວ
lt	Lithuanian	Lietuvių kalba
lu	Luba-Katanga	Luba-Katanga
lv	Latvian	Latviešu valoda
mai	Maithili	मैथिली, মৈথিলী
mg	Malagasy	Malagasy fiteny
mh	Marshallese	Kajin M̧ajeļ
mi	Māori	Reo Māori
mk	Macedonian	Македонскиот јазик
ml	Malayalam	മലയാളം
mn	Mongolian	Монгол
mo	Moldavian	Лимба молдовеняскэ
moc	Mocovi	Moqoit La’qaatqa
mr	Marathi	मराठी
ms	Malay	Bahasa Melayu
mt	Maltese	Malti
my	Burmese	ဗမာစာ
na	Nauru	Ekaiairũ Naoero
nb	Norwegian Bokmål	Norsk bokmål
nd	North Ndebele	isiNdebele
nds	Low German	Plattdüütsch
ne	Nepali	नेपाली
ng	Ndonga	Owambo
nl	Dutch	Nederlands
nn	Norwegian Nynorsk	Norsk nynorsk
no	Norwegian	Norsk
nr	South Ndebele	Ndébélé
nv	Navajo	Diné bizaad
ny	Chichewa	Chicheŵa
oc	Occitan	Occitan
oj	Ojibwa	ᐊᓂᔑᓈᐯᒧᐎᓐ
om	Oromo	Afaan Oromo
or	Oriya	ଓଡ଼ିଆ
os	Ossetian	Ирон æвзаг
pa	Panjabi	ਪੰਜਾਬੀ
pi	Pāli	पािऴ 
pl	Polish	Polski
ps	Pashto	‫پښتو‬
pt	Portuguese	Português
pt_BR	Portuguese	Português brasileiro
qu	Quechua	Runa Simi
rm	Romansh	Rumantsch Grischun
rn	Kirundi	Ikirundi
ro	Romanian	Română
ru	Russian	Русский
rw	Kinyarwanda	Kinyarwanda
sa	Sanskrit	संस्कृतम्
sah	Sakha	Саха тыла
sc	Sardinian	Sardu
sco	Scots	Scots
sd	Sindhi	सिन्धी
se	Northern Sami	Davvisámegiella
sg	Sango	Sängö
sh	Serbo-Croatian	Српскохрватски
si	Sinhala	සිංහල
sk	Slovak	Slovenčina
sl	Slovenian	Slovenščina
sm	Samoan	Gagana fa'a Sāmoa
sn	Shona	chiShona
so	Somali	Soomaaliga
sq	Albanian	Shqip
sr	Serbian	Српски
sr@latin	Serbian (Latin)	Srpski
ss	Swati	SiSwati
st	Southern Sotho	Sesotho
su	Sundanese	Basa Sunda
sv	Swedish	Svenska
sw	Swahili	Kiswahili
ta	Tamil	தமிழ்
te	Telugu	తెలుగు
tg	Tajik	Тоҷикӣ
th	Thai	ไทย
ti	Tigrinya	ትግርኛ
tk	Turkmen	Türkmen
tl	Tagalog	Tagalog
tn	Tswana	Setswana
to	Tonga	Lea faka-Tonga
tr	Turkish	Türkçe
ts	Tsonga	Xitsonga
tt	Tatar	Татарча
tw	Twi	Twi
ty	Tahitian	Reo Mā`ohi
tzm	Central Atlas Tamazight	Tamaziɣt
ug	Uighur	Uyƣurqə
uk	Ukrainian	Українська
ur	Urdu	‫اردو‬
uz	Uzbek	Ўзбек
uz@Latn	Uzbek (Latin)	O'zbek
ve	Venda	Tshivenḓa
vi	Vietnamese	Tiếng Việt
vo	Volapük	Volapük
wa	Walloon	Walon
wo	Wolof	Wollof
xh	Xhosa	isiXhosa
yi	Yiddish	‫ייִדיש‬ 
yo	Yoruba	Yorùbá
za	Zhuang	Saɯ cueŋƅ
zh_CN	Chinese (China)	简体中文 (中国)
zh_HK	Chinese (Hong Kong)	繁體中文 (香港)
zh_TW	Chinese (Taiwan)	正體中文 (臺灣)
zh_SG	Chinese (Singapore)	简体中文 (新加坡)
zu	Zulu	isiZulu
